Time,TotalLaps,CurrentLap
0 days 00:00:07.373000,78.0,1
0 days 01:36:02.282000,,2
0 days 01:39:00.397000,,3
0 days 01:40:24.742000,,4
0 days 01:41:47.358000,,5
0 days 01:43:09.153000,,6
0 days 01:44:30.295000,,7
0 days 01:45:51.277000,,8
0 days 01:47:12.312000,,9
0 days 01:48:32.433000,,10
0 days 01:49:53.226000,,11
0 days 01:51:14.256000,,12
0 days 01:52:34.498000,,13
0 days 01:53:53.533000,,14
0 days 01:55:13.400000,,15
0 days 01:56:33.243000,,16
0 days 01:57:53.420000,,17
0 days 01:59:13.708000,,18
0 days 02:00:33.270000,,19
0 days 02:01:52.141000,,20
0 days 02:03:10.863000,,21
0 days 02:04:29.333000,,22
0 days 02:05:47.932000,,23
0 days 02:07:06.401000,,24
0 days 02:08:25.125000,,25
0 days 02:09:44.094000,,26
0 days 02:11:02.553000,,27
0 days 02:12:20.903000,,28
0 days 02:13:39.630000,,29
0 days 02:14:58.672000,,30
0 days 02:16:18.585000,,31
0 days 02:17:37.009000,,32
0 days 02:18:56.102000,,33
0 days 02:20:14.605000,,34
0 days 02:21:33.994000,,35
0 days 02:22:52.490000,,36
0 days 02:24:11.130000,,37
0 days 02:25:30.062000,,38
0 days 02:26:48.612000,,39
0 days 02:28:06.797000,,40
0 days 02:29:25.511000,,41
0 days 02:30:44.206000,,42
0 days 02:32:03.485000,,43
0 days 02:33:21.337000,,44
0 days 02:34:39.619000,,45
0 days 02:35:58.179000,,46
0 days 02:37:16.769000,,47
0 days 02:38:35.967000,,48
0 days 02:39:53.863000,,49
0 days 02:41:12.361000,,50
0 days 02:42:30.543000,,51
0 days 02:43:48.346000,,52
0 days 02:45:06.642000,,53
0 days 02:46:24.399000,,54
0 days 02:47:41.777000,,55
0 days 02:48:59.207000,,56
0 days 02:50:16.464000,,57
0 days 02:51:34.120000,,58
0 days 02:52:51.139000,,59
0 days 02:54:08.195000,,60
0 days 02:55:24.602000,,61
0 days 02:56:41.460000,,62
0 days 02:57:58.908000,,63
0 days 02:59:15.893000,,64
0 days 03:00:32.456000,,65
0 days 03:01:49.059000,,66
0 days 03:03:05.553000,,67
0 days 03:04:21.497000,,68
0 days 03:05:37.572000,,69
0 days 03:06:53.951000,,70
0 days 03:08:09.728000,,71
0 days 03:09:24.962000,,72
0 days 03:10:40.435000,,73
0 days 03:11:56.683000,,74
0 days 03:13:12.749000,,75
0 days 03:14:29.191000,,76
0 days 03:15:45.937000,,77
0 days 03:17:02.861000,,78
