Time,TotalLaps,CurrentLap
0 days 00:00:04.284000,78.0,1
0 days 00:08:09.752000,,2
0 days 00:09:27.921000,,3
0 days 00:10:45.744000,,4
0 days 00:12:03.589000,,5
0 days 00:13:21.065000,,6
0 days 00:14:38.497000,,7
0 days 00:15:55.589000,,8
0 days 00:17:17.514000,,9
0 days 00:18:32.752000,,10
0 days 00:19:46.598000,,11
0 days 00:21:03.030000,,12
0 days 00:22:19.897000,,13
0 days 00:23:35.448000,,14
0 days 00:24:53.963000,,15
0 days 00:26:06.999000,,16
0 days 00:27:23.959000,,17
0 days 00:28:56.623000,,18
0 days 00:30:17.200000,,19
0 days 00:31:40.234000,,20
0 days 00:32:54.054000,,21
0 days 00:34:15.722000,,22
0 days 00:35:35.999000,,23
0 days 00:36:49.474000,,24
0 days 00:38:07.778000,,25
0 days 00:39:31.730000,,26
0 days 00:40:45.572000,,27
0 days 00:42:04.967000,,28
0 days 00:43:24.416000,,29
0 days 00:44:47.735000,,30
0 days 00:46:01.308000,,31
0 days 00:47:23.219000,,32
0 days 00:48:43.444000,,33
0 days 00:49:58.088000,,34
0 days 00:51:17.577000,,35
0 days 00:52:37.166000,,36
0 days 00:53:59.432000,,37
0 days 00:55:19.670000,,38
0 days 00:56:36.833000,,39
0 days 00:58:00.162000,,40
0 days 00:59:16.501000,,41
0 days 01:00:40.668000,,42
0 days 01:02:00.927000,,43
0 days 01:03:21.184000,,44
0 days 01:04:41.387000,,45
0 days 01:05:56.663000,,46
0 days 01:07:16.867000,,47
0 days 01:08:34.364000,,48
0 days 01:09:53.774000,,49
0 days 01:11:17.620000,,50
0 days 01:12:37.876000,,51
0 days 01:13:52.614000,,52
0 days 01:15:12.244000,,53
0 days 01:16:31.481000,,54
0 days 01:17:52.654000,,55
0 days 01:19:11.877000,,56
0 days 01:20:34.366000,,57
0 days 01:21:48.562000,,58
0 days 01:23:06.734000,,59
0 days 01:24:30.104000,,60
0 days 01:25:45.344000,,61
0 days 01:27:02.018000,,62
0 days 01:28:25.575000,,63
0 days 01:29:37.929000,,64
0 days 01:31:01.322000,,65
0 days 01:32:16.564000,,66
0 days 01:33:31.729000,,67
0 days 01:34:49.349000,,68
0 days 01:36:06.739000,,69
0 days 01:37:24.357000,,70
0 days 01:38:47.177000,,71
0 days 01:39:59.393000,,72
0 days 01:41:23.263000,,73
0 days 01:43:05.958000,,74
0 days 01:44:38.526000,,75
0 days 01:45:54.112000,,76
0 days 01:47:07.050000,,77
0 days 01:48:29.575000,,78
