Time,TotalLaps,CurrentLap
0 days 00:00:03.819000,78.0,1
0 days 00:34:16.896000,,2
0 days 00:35:34.413000,,3
0 days 00:36:51.686000,,4
0 days 00:38:08.957000,,5
0 days 00:39:25.818000,,6
0 days 00:40:42.994000,,7
0 days 00:41:59.705000,,8
0 days 00:43:16.800000,,9
0 days 00:44:33.724000,,10
0 days 00:45:50.653000,,11
0 days 00:47:06.974000,,12
0 days 00:48:23.277000,,13
0 days 00:49:39.206000,,14
0 days 00:50:55.531000,,15
0 days 00:52:11.348000,,16
0 days 00:53:27.094000,,17
0 days 00:54:43.086000,,18
0 days 00:55:59.005000,,19
0 days 00:57:14.636000,,20
0 days 00:58:30.775000,,21
0 days 00:59:46.947000,,22
0 days 01:01:03.069000,,23
0 days 01:02:19.383000,,24
0 days 01:03:35.604000,,25
0 days 01:04:52.113000,,26
0 days 01:06:08.435000,,27
0 days 01:07:24.443000,,28
0 days 01:08:40.440000,,29
0 days 01:09:56.977000,,30
0 days 01:11:13.556000,,31
0 days 01:12:28.742000,,32
0 days 01:13:44.612000,,33
0 days 01:15:00.429000,,34
0 days 01:16:32.827000,,35
0 days 01:17:53.440000,,36
0 days 01:19:08.927000,,37
0 days 01:20:24.772000,,38
0 days 01:21:41.206000,,39
0 days 01:22:57.744000,,40
0 days 01:24:13.633000,,41
0 days 01:25:29.128000,,42
0 days 01:26:44.682000,,43
0 days 01:28:00.287000,,44
0 days 01:29:15.320000,,45
0 days 01:30:30.245000,,46
0 days 01:31:45.771000,,47
0 days 01:33:01.205000,,48
0 days 01:34:16.082000,,49
0 days 01:35:31.258000,,50
0 days 01:36:45.968000,,51
0 days 01:38:00.910000,,52
0 days 01:39:15.785000,,53
0 days 01:40:30.535000,,54
0 days 01:41:45.522000,,55
0 days 01:43:00.274000,,56
0 days 01:44:15.073000,,57
0 days 01:45:29.840000,,58
0 days 01:46:44.507000,,59
0 days 01:47:59.589000,,60
0 days 01:49:14.951000,,61
0 days 01:50:30.508000,,62
0 days 01:51:45.992000,,63
0 days 01:53:01.044000,,64
0 days 01:54:16.427000,,65
0 days 01:55:31.796000,,66
0 days 01:56:47.116000,,67
0 days 01:58:02.132000,,68
0 days 01:59:16.968000,,69
0 days 02:00:31.882000,,70
0 days 02:01:47.155000,,71
0 days 02:03:02.423000,,72
0 days 02:04:17.343000,,73
0 days 02:05:32.624000,,74
0 days 02:06:48.189000,,75
0 days 02:08:03.074000,,76
0 days 02:09:18.421000,,77
0 days 02:10:34.926000,,78
