Time,TotalLaps,CurrentLap
0 days 00:00:07.465000,78.0,1.0
0 days 01:31:16.011000,77.0,
0 days 02:06:32.366000,,2.0
0 days 02:08:57.394000,,3.0
0 days 02:10:40.605000,,4.0
0 days 02:12:22.492000,,5.0
0 days 02:14:02.202000,,6.0
0 days 02:15:40.222000,,7.0
0 days 02:17:17.404000,,8.0
0 days 02:18:54.823000,,9.0
0 days 02:20:31.401000,,10.0
0 days 02:22:07.719000,,11.0
0 days 02:23:43.024000,,12.0
0 days 02:25:18.090000,,13.0
0 days 02:26:51.770000,,14.0
0 days 02:28:25.103000,,15.0
0 days 02:29:57.196000,,16.0
0 days 02:31:29.316000,,17.0
0 days 02:33:00.836000,,18.0
0 days 02:34:39.088000,,19.0
0 days 02:36:10.859000,,20.0
0 days 02:37:42.531000,,21.0
0 days 02:39:15.894000,,22.0
0 days 02:40:59.340000,,23.0
0 days 02:42:33.473000,,24.0
0 days 02:43:59.001000,,25.0
0 days 02:45:21.206000,,26.0
0 days 02:46:45.261000,,27.0
0 days 02:48:42.505000,,28.0
0 days 02:50:50.583000,,29.0
0 days 02:52:49.626000,,30.0
0 days 03:14:12.864000,,31.0
0 days 03:16:51.202000,,32.0
0 days 03:18:54.705000,,33.0
0 days 03:20:18.112000,,34.0
0 days 03:21:38.812000,,35.0
0 days 03:22:58.627000,,36.0
0 days 03:24:17.684000,,37.0
0 days 03:25:36.011000,,38.0
0 days 03:26:53.088000,,39.0
0 days 03:28:10.205000,,40.0
0 days 03:29:26.693000,,41.0
0 days 03:30:43.121000,,42.0
0 days 03:31:59.390000,,43.0
0 days 03:33:15.845000,,44.0
0 days 03:34:32.604000,,45.0
0 days 03:35:49.403000,,46.0
0 days 03:37:05.440000,,47.0
0 days 03:38:22.110000,,48.0
0 days 03:39:38.301000,,49.0
0 days 03:40:54.885000,,50.0
0 days 03:42:12.860000,,51.0
0 days 03:43:30.591000,,52.0
0 days 03:44:48.628000,,53.0
0 days 03:46:06.859000,,54.0
0 days 03:47:25.072000,,55.0
0 days 03:48:43.544000,,56.0
0 days 03:50:02.458000,,57.0
0 days 03:51:21.313000,,58.0
0 days 03:52:40.802000,,59.0
0 days 03:53:59.535000,,60.0
0 days 03:55:18.511000,,61.0
0 days 03:56:37.176000,,62.0
0 days 03:57:55.141000,,63.0
0 days 03:59:12.841000,,64.0
0 days 04:00:30.768000,,65.0
