DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS
2,1,9507.728070175439,3.7514619883040936,45.207602339181285,98,0
2,2,9467.6875,3.7976190476190474,44.74702380952381,107,15
2,3,9421.166666666666,3.8273809523809526,43.125,101,20
2,4,9429.387387387387,3.843843843843844,42.3033033033033,102,18
2,5,9452.302395209581,3.787425149700599,41.70059880239521,108,18
2,6,9420.128358208955,3.782089552238806,41.791044776119406,104,19
2,7,9620.401840490798,3.8466257668711656,46.377300613496935,99,6
2,8,9460.275449101797,3.877245508982036,44.52395209580838,98,0
2,9,9480.036253776436,3.8610271903323263,44.105740181268885,96,0
2,10,9439.90119760479,3.694610778443114,43.52994011976048,108,0
2,11,9537.978787878788,3.8424242424242423,47.72121212121212,98,0
2,12,9522.617469879518,3.789156626506024,46.325301204819276,99,0
2,13,9529.81626506024,3.7981927710843375,46.68674698795181,93,0
2,14,9482.994082840236,3.769230769230769,46.642011834319526,97,0
2,15,9473.442136498516,3.706231454005935,45.50148367952522,102,0
2,16,9414.253012048193,3.6897590361445785,44.39156626506024,99,0
2,17,9422.674351585014,3.786743515850144,45.36599423631124,104,0
2,18,9468.107462686567,3.7134328358208957,46.188059701492534,104,0
2,19,8770.110070257611,2.9648711943793913,43.59953161592506,130,0
2,20,9539.633633633634,3.750750750750751,48.97597597597598,105,0
2,21,9530.685358255452,3.8753894080996885,46.68847352024922,102,0
2,22,9530.075301204819,3.9186746987951806,47.29819277108434,99,0
2,23,9615.080996884735,3.931464174454829,47.83177570093458,97,0
2,24,9553.743827160493,3.9074074074074074,46.30246913580247,103,0
2,25,9524.88379204893,3.9510703363914375,46.61467889908257,97,0
2,26,9583.583333333334,3.8919753086419755,46.111111111111114,105,0
2,27,9551.219135802468,3.8703703703703702,45.925925925925924,101,0
2,28,9540.537764350453,3.770392749244713,44.042296072507554,116,0
2,29,9632.948012232417,3.8960244648318043,48.02140672782875,101,0
2,30,9509.086419753086,3.8549382716049383,44.92901234567901,102,0
2,31,9509.760606060607,3.8545454545454545,44.345454545454544,102,0
2,32,9476.547904191617,3.811377245508982,42.64071856287425,108,12
2,33,9481.110447761193,3.8149253731343284,42.22686567164179,118,15
2,34,9452.111782477341,3.7915407854984893,41.89123867069486,114,17
2,35,9295.076923076924,3.8431952662721893,41.73372781065089,109,21
2,36,9362.125,3.755952380952381,39.94642857142857,108,3
