DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS
1,1,7512.188515709642,2.2816901408450705,30.652221018418203,336,0
1,3,8689.096026490066,3.5827814569536423,37.152317880794705,78,12
1,4,8814.951923076924,3.5705128205128207,36.68910256410256,79,0
1,5,8622.870253164558,3.6360759493670884,36.23101265822785,86,0
1,6,8743.02922077922,3.7824675324675323,39.42857142857143,85,0
1,7,8663.225913621263,3.780730897009967,39.3687707641196,78,0
1,8,8742.530546623795,3.762057877813505,40.154340836012864,75,0
1,9,8740.737541528239,3.647840531561462,38.04983388704319,81,0
1,10,8672.928104575163,3.843137254901961,39.173202614379086,82,0
1,11,8692.190938511327,3.9029126213592233,41.37540453074433,72,0
1,12,8743.363636363636,3.8896103896103895,40.33766233766234,84,0
1,13,8821.124183006536,3.8137254901960786,42.45751633986928,82,0
1,14,8726.774509803921,3.816993464052288,39.42156862745098,77,0
1,15,8590.488599348535,3.9348534201954397,39.671009771986974,76,0
1,16,8620.026845637583,3.9328859060402683,39.104026845637584,78,0
1,17,8762.287162162162,3.939189189189189,41.54391891891892,77,0
1,18,8716.720930232557,3.9335548172757475,40.800664451827245,84,0
1,19,8672.815789473685,3.8453947368421053,40.391447368421055,81,0
1,20,8515.075409836065,3.9836065573770494,39.6983606557377,78,0
1,21,8566.967320261438,3.934640522875817,41.032679738562095,78,0
1,22,8581.822147651006,4.0134228187919465,41.75167785234899,74,0
1,23,8691.070234113713,3.903010033444816,40.709030100334445,75,0
1,24,8628.297385620916,4.029411764705882,42.01633986928105,76,0
1,25,8775.931506849314,3.982876712328767,41.92465753424658,76,0
1,26,8798.776315789473,3.9967105263157894,43.61513157894737,81,0
1,27,8744.072664359861,3.9688581314878895,44.266435986159166,74,0
1,28,8823.020338983051,3.9593220338983053,42.79661016949152,80,0
1,29,8804.15511551155,3.871287128712871,43.22112211221122,77,0
1,30,8802.614864864865,3.9155405405405403,44.36824324324324,75,0
1,31,8757.116666666667,3.85,41.35333333333333,79,0
1,32,8799.554794520547,4.017123287671233,42.17465753424658,76,0
1,33,8650.638157894737,3.9342105263157894,41.45065789473684,74,0
1,34,8733.01,3.9466666666666668,41.63666666666666,72,0
1,35,8647.238255033557,3.9731543624161074,39.8255033557047,83,0
1,36,8692.046357615895,3.956953642384106,42.51324503311258,75,0
1,37,8856.892361111111,4.020833333333333,43.329861111111114,76,0
1,38,8771.702054794521,3.910958904109589,42.136986301369866,73,0
1,39,8741.883561643835,3.958904109589041,41.31506849315068,78,0
1,40,8882.816053511706,3.862876254180602,43.558528428093645,76,0
1,41,8786.525423728814,3.989830508474576,42.779661016949156,77,0
1,42,8899.343537414967,3.9285714285714284,43.09863945578231,69,0
1,43,8781.307167235494,3.9112627986348123,42.617747440273035,72,0
1,44,8793.317406143346,3.948805460750853,41.45392491467577,74,0
1,45,8887.465986394558,3.9081632653061225,44.21768707482993,77,0
1,46,8852.537162162162,3.9425675675675675,42.851351351351354,73,0
1,47,8832.921501706485,3.9249146757679183,43.477815699658706,76,0
1,48,8963.351170568561,3.903010033444816,43.28428093645485,82,12
1,49,8776.0,3.8918032786885246,40.43606557377049,81,4
1,50,8835.474402730375,3.8737201365187715,42.846416382252556,79,0
1,51,8361.527932960895,3.094972067039106,43.952513966480446,97,0
1,52,9404.870307167235,3.5017064846416384,49.389078498293514,84,0
1,53,9194.505226480836,3.9198606271777003,47.933797909407666,81,0
1,54,9199.006756756757,3.885135135135135,47.83783783783784,80,0
1,55,9131.342560553634,3.875432525951557,47.42906574394463,80,0
1,56,9163.104529616725,3.7874564459930316,47.52613240418118,78,0
1,57,9405.660714285714,3.882142857142857,51.260714285714286,76,0
1,58,9364.604240282686,3.8268551236749118,49.24734982332156,78,0
1,59,9284.672535211268,3.795774647887324,50.20774647887324,73,15
1,60,9329.106007067137,3.88339222614841,49.56537102473498,77,17
1,61,9191.302083333334,3.763888888888889,49.15277777777778,78,21
1,62,9099.332191780823,3.76027397260274,47.71232876712329,73,17
1,63,9100.554794520547,3.839041095890411,47.294520547945204,77,20
1,64,9233.073943661971,3.880281690140845,47.933098591549296,77,16
1,65,9230.0,3.852112676056338,45.13732394366197,84,17
1,66,9196.16723549488,3.8737201365187715,43.996587030716725,80,0
1,67,9108.614545454546,3.8654545454545453,44.50909090909091,74,0
1,68,9207.420138888889,3.9618055555555554,46.4375,76,11
1,69,9274.649305555555,4.020833333333333,45.5,77,23
1,70,9269.865942028986,3.9239130434782608,46.80072463768116,73,16
1,71,9209.831615120274,3.924398625429553,48.18213058419244,77,23
1,72,9248.62886597938,3.9072164948453607,49.044673539518904,76,19
1,73,9222.760563380281,3.869718309859155,47.598591549295776,76,18
1,74,9270.599290780141,3.925531914893617,48.758865248226954,74,16
1,75,9233.898305084746,3.925423728813559,48.12881355932203,80,24
1,76,9197.272727272728,3.8496503496503496,46.82167832167832,80,16
1,77,9234.384341637011,3.8754448398576513,47.68327402135231,79,17
1,78,6093.01329787234,2.393617021276596,6.24468085106383,27,0
2,1,8055.271367521367,2.324786324786325,29.837606837606838,139,0
