Time,TotalLaps,CurrentLap
0 days 00:00:04.038000,78.0,1
0 days 00:34:07.759000,,2
0 days 00:35:24.974000,,3
0 days 00:36:41.620000,,4
0 days 00:37:57.986000,,5
0 days 00:39:14.668000,,6
0 days 00:40:31.345000,,7
0 days 00:41:47.797000,,8
0 days 00:43:04.109000,,9
0 days 00:44:20.338000,,10
0 days 00:45:37.530000,,11
0 days 00:47:27.341000,,12
0 days 00:49:26.896000,,13
0 days 00:51:18.792000,,14
0 days 00:53:16.832000,,15
0 days 00:54:38.045000,,16
0 days 00:55:57.729000,,17
0 days 00:57:16.863000,,18
0 days 00:58:35.822000,,19
0 days 00:59:54.504000,,20
0 days 01:01:12.931000,,21
0 days 01:02:31.873000,,22
0 days 01:03:50.805000,,23
0 days 01:05:09.231000,,24
0 days 01:06:27.492000,,25
0 days 01:07:45.527000,,26
0 days 01:09:03.320000,,27
0 days 01:10:20.462000,,28
0 days 01:11:37.826000,,29
0 days 01:12:55.367000,,30
0 days 01:14:12.738000,,31
0 days 01:15:30.089000,,32
0 days 01:16:47.438000,,33
0 days 01:18:04.932000,,34
0 days 01:19:22.161000,,35
0 days 01:20:39.874000,,36
0 days 01:21:57.466000,,37
0 days 01:23:15.191000,,38
0 days 01:24:33.015000,,39
0 days 01:25:50.745000,,40
0 days 01:27:08.894000,,41
0 days 01:28:26.851000,,42
0 days 01:29:44.400000,,43
0 days 01:31:01.837000,,44
0 days 01:32:19.440000,,45
0 days 01:33:37.014000,,46
0 days 01:34:54.181000,,47
0 days 01:36:11.702000,,48
0 days 01:37:30.355000,,49
0 days 01:38:47.762000,,50
0 days 01:40:05.080000,,51
0 days 01:41:22.589000,,52
0 days 01:42:39.872000,,53
0 days 01:43:57.197000,,54
0 days 01:45:14.288000,,55
0 days 01:46:31.560000,,56
0 days 01:47:49.359000,,57
0 days 01:49:07.345000,,58
0 days 01:50:24.661000,,59
0 days 01:51:42.181000,,60
0 days 01:52:59.843000,,61
0 days 01:54:17.428000,,62
0 days 01:55:34.573000,,63
0 days 01:56:51.828000,,64
0 days 01:58:08.861000,,65
0 days 01:59:26.061000,,66
0 days 02:00:43.448000,,67
0 days 02:02:00.576000,,68
0 days 02:03:17.881000,,69
0 days 02:04:35.567000,,70
0 days 02:05:53.456000,,71
0 days 02:07:10.953000,,72
0 days 02:08:28.504000,,73
0 days 02:09:45.997000,,74
0 days 02:11:03.562000,,75
0 days 02:12:21.345000,,76
0 days 02:13:38.739000,,77
0 days 02:14:56.732000,,78
