Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapNumber
0 days 03:21:04.419000,22.0,73.0,1003.2,False,28.6,186,0.4,33.0
0 days 03:22:04.416000,22.0,73.0,1003.2,False,28.8,257,1.0,34.0
0 days 03:23:04.439000,22.1,72.0,1003.2,False,28.8,159,1.1,35.0
0 days 03:24:04.450000,22.2,72.0,1003.0,False,28.9,86,0.6,35.0
0 days 03:25:04.448000,22.3,71.0,1003.2,False,28.9,239,0.5,36.0
0 days 03:26:04.448000,22.3,72.0,1003.0,True,29.1,260,1.2,37.0
0 days 03:27:04.461000,22.3,70.0,1003.0,False,29.1,330,1.2,38.0
0 days 03:28:04.451000,22.4,70.0,1003.2,False,28.8,0,0.6,38.0
0 days 03:29:04.448000,22.3,70.0,1003.2,False,28.8,55,0.6,39.0
0 days 03:30:04.448000,22.3,71.0,1003.0,False,28.7,300,0.4,40.0
0 days 03:31:04.451000,22.4,71.0,1003.2,False,28.9,188,0.6,41.0
0 days 03:32:04.450000,22.5,71.0,1003.2,False,29.1,146,0.6,42.0
0 days 03:33:04.448000,22.5,71.0,1003.2,False,29.4,178,0.8,42.0
0 days 03:34:04.457000,22.6,70.0,1003.2,False,29.4,201,0.8,43.0
0 days 03:35:04.452000,22.4,69.0,1003.2,False,29.5,161,1.1,44.0
0 days 03:36:04.453000,22.4,69.0,1003.2,False,29.0,189,1.0,45.0
0 days 03:37:04.455000,22.3,70.0,1003.2,False,28.7,170,0.6,45.0
0 days 03:38:04.456000,22.4,71.0,1003.2,False,29.0,183,1.2,46.0
0 days 03:39:04.448000,22.5,70.0,1003.2,False,29.0,158,0.8,47.0
0 days 03:40:04.449000,22.5,69.0,1003.2,False,29.6,0,1.5,48.0
0 days 03:41:04.457000,22.6,69.0,1003.2,False,29.7,195,0.8,49.0
0 days 03:42:04.465000,22.5,68.0,1003.2,False,29.8,211,1.5,49.0
0 days 03:43:04.451000,22.6,68.0,1003.2,False,29.5,200,1.2,50.0
0 days 03:44:04.448000,22.6,68.0,1003.2,False,29.5,185,1.2,51.0
0 days 03:45:04.450000,22.6,68.0,1003.2,False,29.2,300,1.7,52.0
0 days 03:46:04.450000,22.5,67.0,1003.2,False,29.2,296,1.1,52.0
0 days 03:47:04.463000,22.4,64.0,1003.4,False,29.2,121,1.0,53.0
0 days 03:48:04.465000,22.4,66.0,1003.2,False,29.2,183,0.6,54.0
0 days 03:49:04.480000,22.5,67.0,1003.2,False,29.1,134,0.8,55.0
0 days 03:50:04.506000,22.3,67.0,1003.2,False,29.1,340,0.4,56.0
0 days 03:51:04.513000,22.4,66.0,1003.4,False,29.1,187,1.2,56.0
0 days 03:52:04.518000,22.5,66.0,1003.2,False,29.1,104,0.5,57.0
0 days 03:53:04.521000,22.4,66.0,1003.2,False,29.1,168,0.6,58.0
0 days 03:54:04.543000,22.4,67.0,1003.2,False,29.5,87,0.8,59.0
0 days 03:55:04.545000,22.4,65.0,1003.2,False,29.3,0,0.6,59.0
0 days 03:56:04.545000,22.3,65.0,1003.2,False,29.1,199,0.4,60.0
0 days 03:57:04.545000,22.3,65.0,1003.4,False,29.1,173,1.1,61.0
0 days 03:58:04.549000,22.2,65.0,1003.2,False,29.1,0,0.8,62.0
0 days 03:59:04.686000,22.2,66.0,1003.2,False,28.9,40,0.5,62.0
0 days 04:00:04.543000,22.3,65.0,1003.4,False,29.5,166,1.0,63.0
0 days 04:01:04.560000,22.4,65.0,1003.2,False,29.9,165,1.1,64.0
0 days 04:02:04.561000,22.4,66.0,1003.2,False,29.8,142,0.6,64.0
0 days 04:03:04.570000,22.5,66.0,1003.2,False,30.1,0,0.6,64.0
0 days 04:04:04.596000,22.6,65.0,1003.2,True,30.4,180,0.6,64.0
