Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapNumber
0 days 01:36:54.533000,21.5,65.0,1018.9,False,48.1,9,0.8,1.0
0 days 01:37:54.533000,21.5,66.0,1018.9,False,48.1,231,0.7,1.0
0 days 01:38:54.534000,21.6,66.0,1018.7,False,48.6,356,1.4,1.0
0 days 01:39:54.540000,21.6,65.0,1018.8,False,49.2,0,0.6,2.0
0 days 01:40:54.540000,21.7,63.0,1018.9,False,49.2,0,0.6,3.0
0 days 01:41:54.532000,21.7,63.0,1018.8,False,48.8,57,0.6,4.0
0 days 01:42:54.539000,21.6,64.0,1018.9,False,48.2,353,2.0,4.0
0 days 01:43:54.538000,21.6,63.0,1018.8,False,48.2,0,1.0,5.0
0 days 01:44:54.534000,21.8,64.0,1018.9,False,48.7,6,0.4,6.0
0 days 01:45:54.536000,21.8,64.0,1018.9,False,48.0,104,1.4,7.0
0 days 01:46:54.538000,21.9,63.0,1018.9,False,47.9,253,0.9,7.0
0 days 01:47:54.523000,22.0,64.0,1018.8,False,47.9,340,1.1,8.0
0 days 01:48:54.541000,22.1,65.0,1018.8,False,47.4,289,0.7,9.0
0 days 01:49:54.529000,22.1,63.0,1018.8,False,47.9,187,0.9,10.0
0 days 01:50:54.531000,22.2,61.0,1018.9,False,47.9,9,1.3,10.0
0 days 01:51:54.544000,22.3,63.0,1018.8,False,47.3,2,0.6,11.0
0 days 01:52:54.535000,22.1,64.0,1018.8,False,47.2,208,1.2,12.0
0 days 01:53:54.550000,22.0,62.0,1018.8,False,47.1,0,1.2,13.0
0 days 01:54:54.541000,22.0,63.0,1018.7,False,47.1,22,0.5,13.0
0 days 01:55:54.537000,22.0,62.0,1018.8,False,47.1,351,1.1,14.0
0 days 01:56:54.541000,22.0,64.0,1018.7,False,46.0,154,0.5,15.0
0 days 01:57:54.549000,21.8,64.0,1018.8,False,46.1,8,1.3,16.0
0 days 01:58:54.543000,21.6,64.0,1018.7,False,46.7,38,1.1,16.0
0 days 01:59:54.551000,21.7,63.0,1018.7,False,47.2,101,0.8,17.0
0 days 02:00:54.548000,21.8,61.0,1018.6,False,46.7,221,0.7,18.0
0 days 02:01:54.547000,21.9,61.0,1018.8,False,46.6,36,1.3,19.0
0 days 02:02:54.542000,21.9,62.0,1018.8,False,45.8,337,0.9,19.0
0 days 02:03:54.543000,21.9,64.0,1018.7,False,45.8,0,1.3,20.0
0 days 02:04:54.544000,21.8,65.0,1018.8,False,45.9,273,1.6,21.0
0 days 02:05:54.554000,21.8,65.0,1018.8,False,45.9,198,0.5,22.0
0 days 02:06:54.543000,21.7,63.0,1018.7,False,46.1,356,1.1,22.0
0 days 02:07:54.545000,21.8,64.0,1018.7,False,46.3,272,1.4,23.0
0 days 02:08:54.553000,21.7,63.0,1018.7,False,45.7,183,0.9,24.0
0 days 02:09:54.562000,21.7,62.0,1018.6,False,45.7,325,1.3,25.0
0 days 02:10:54.559000,21.8,64.0,1018.5,False,46.0,23,0.7,25.0
0 days 02:11:54.558000,21.9,63.0,1018.6,False,46.0,296,0.6,26.0
0 days 02:12:54.548000,21.9,62.0,1018.6,False,46.0,213,1.0,27.0
0 days 02:13:54.560000,22.0,63.0,1018.5,False,45.6,215,1.7,28.0
0 days 02:14:54.551000,22.0,62.0,1018.5,False,45.9,220,0.9,28.0
0 days 02:15:54.549000,22.0,61.0,1018.6,False,46.4,265,0.6,29.0
0 days 02:16:54.551000,22.1,61.0,1018.6,False,45.5,217,0.4,30.0
0 days 02:17:54.557000,22.0,61.0,1018.6,False,45.5,237,0.9,31.0
0 days 02:18:54.573000,21.9,62.0,1018.5,False,45.6,245,1.0,31.0
0 days 02:19:54.575000,21.9,62.0,1018.6,False,45.9,269,0.9,32.0
0 days 02:20:54.594000,22.0,61.0,1018.5,False,45.9,268,1.0,33.0
0 days 02:21:54.610000,22.0,62.0,1018.6,False,45.1,0,0.9,34.0
0 days 02:22:54.602000,21.9,65.0,1018.6,False,44.5,358,0.6,35.0
0 days 02:23:54.612000,21.8,64.0,1018.5,False,44.4,234,1.2,35.0
0 days 02:24:54.613000,21.7,63.0,1018.5,False,44.4,305,1.5,36.0
0 days 02:25:54.617000,21.8,63.0,1018.5,False,44.5,271,1.0,37.0
0 days 02:26:54.635000,21.8,62.0,1018.6,False,44.8,169,0.7,38.0
