meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1210,9094,1,178.0,182.0,271.0,,,False,,37.42,21.053,"[2049, 2051, 2049, 2051, 2051, 2049]","[2051, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2051, 2048, 2048, 0]",1
1210,9094,2,158.0,177.0,249.0,,,False,,44.183,21.567,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2051]",1
1210,9094,4,154.0,175.0,276.0,,,False,,39.59,22.151,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",1
1210,9094,10,171.0,178.0,279.0,,,False,,39.087,21.849,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",1
1210,9094,11,157.0,170.0,273.0,,,False,,45.39,39.598,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2049, 2049, 0]",1
1210,9094,14,188.0,180.0,275.0,,,False,,37.981,21.254,"[2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048]",1
1210,9094,16,173.0,177.0,278.0,,,False,,38.983,21.868,"[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2048, 0]",1
1210,9094,18,163.0,168.0,200.0,,,False,,46.215,21.708,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048]",1
1210,9094,20,168.0,180.0,283.0,,,False,,43.991,21.57,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2048, 2048]",1
1210,9094,21,167.0,175.0,280.0,,,False,,40.159,22.267,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 0]",1
1210,9094,22,152.0,177.0,271.0,,,False,,39.573,21.994,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 0]",1
1210,9094,23,153.0,178.0,281.0,,,False,,41.843,21.357,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2051]",1
1210,9094,24,139.0,169.0,282.0,,,False,,44.973,40.522,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049]",1
1210,9094,27,172.0,182.0,282.0,,,False,,41.349,46.475,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049]",1
1210,9094,31,168.0,176.0,270.0,,,False,,38.186,21.587,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2048]",1
1210,9094,44,161.0,178.0,275.0,,,False,,38.83,21.942,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 0]",1
1210,9094,55,172.0,176.0,276.0,,,False,,38.45,21.607,"[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2048]",1
1210,9094,63,160.0,169.0,279.0,,,False,,39.443,21.744,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2048, 0]",1
1210,9094,77,166.0,179.0,255.0,,,False,,43.24,21.162,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2051, 2048, 2048, 2048, 0]",1
1210,9094,81,146.0,174.0,281.0,,,False,,39.733,22.494,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2049, 0]",1
1210,9094,1,186.0,182.0,259.0,2023-05-28T13:04:28.519000+00:00,79.367,False,20.954,37.366,21.047,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2048, 2048]",2
1210,9094,2,184.0,181.0,286.0,2023-05-28T13:04:41.862000+00:00,79.658,False,21.209,37.307,21.142,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2051]",2
1210,9094,4,175.0,171.0,277.0,2023-05-28T13:04:36.331000+00:00,81.61,False,21.769,38.014,21.827,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2049]","[2049, 2049, 2049, 2049, 2049]",2
1210,9094,10,183.0,176.0,278.0,2023-05-28T13:04:33.987000+00:00,80.636,False,21.35,37.855,21.431,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2049]","[2049, 2049, 2048, 2048, 2049]",2
1210,9094,11,195.0,188.0,274.0,2023-05-28T13:05:02.455000+00:00,79.704,True,22.935,36.337,20.432,"[2064, 2049, 2049, 2049, 2051, 2051]","[2051, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2051]","[2051, 2048, 2051, 2051, 0]",2
1210,9094,14,194.0,181.0,272.0,2023-05-28T13:04:29.784000+00:00,79.646,False,20.871,37.656,21.119,"[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2049, 2048, 0]",2
1210,9094,16,192.0,182.0,279.0,2023-05-28T13:04:33.393000+00:00,80.549,False,21.352,37.692,21.505,"[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2049, 2051]",2
1210,9094,18,187.0,181.0,278.0,2023-05-28T13:04:43.846000+00:00,79.989,False,21.136,37.566,21.287,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049]",2
1210,9094,20,187.0,176.0,285.0,2023-05-28T13:04:42.612000+00:00,80.175,False,20.988,37.573,21.614,"[None, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 0]",2
1210,9094,21,177.0,178.0,281.0,2023-05-28T13:04:37.722000+00:00,81.764,False,21.649,38.019,22.096,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2048, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2051]",2
1210,9094,22,188.0,183.0,278.0,2023-05-28T13:04:35.581000+00:00,81.288,False,21.766,37.771,21.751,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2048, 2049, 2049]","[2049, 2049, 2049, 2048, 2049]",2
1210,9094,23,172.0,178.0,277.0,2023-05-28T13:04:38.909000+00:00,80.977,False,21.337,37.926,21.714,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2049, 2049]",2
1210,9094,24,193.0,189.0,276.0,2023-05-28T13:05:03.034000+00:00,80.757,True,23.917,36.293,20.547,"[2064, 2048, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2048, 2049, 2051, 2049, 2049]","[2049, 2048, 2048, 2049, 0]",2
1210,9094,27,193.0,184.0,280.0,2023-05-28T13:05:04.455000+00:00,80.434,True,23.288,36.554,20.592,"[2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2048, 2048, 2048, 2048, 2049]",2
1210,9094,31,172.0,178.0,275.0,2023-05-28T13:04:30.925000+00:00,80.301,False,21.245,37.737,21.319,"[None, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2049, 2048]",2
1210,9094,44,178.0,183.0,274.0,2023-05-28T13:04:32.847000+00:00,80.527,False,21.226,37.769,21.532,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048, 2049]","[2048, 2049, 2048, 2049, 0]",2
1210,9094,55,190.0,177.0,278.0,2023-05-28T13:04:31.659000+00:00,80.593,False,21.218,37.827,21.548,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 0]",2
1210,9094,63,182.0,171.0,279.0,2023-05-28T13:04:34.675000+00:00,81.155,False,21.784,37.682,21.689,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 0]",2
1210,9094,77,198.0,181.0,280.0,2023-05-28T13:04:41.143000+00:00,80.021,False,21.417,37.271,21.333,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049]",2
