date,lap_number,category,message,session_key,meeting_key,driver_number,flag,sector,scope
2023-05-28T13:45:54+00:00,34,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 15:45:54,9094,1210,23.0,BLUE,,Driver
2023-05-28T13:46:12+00:00,34,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 15:46:12,9094,1210,24.0,BLUE,,Driver
2023-05-28T13:46:14+00:00,34,Other,CAR 11 (PER) TIME 1:19.292 DELETED - TRACK LIMITS AT TURN 10 LAP 31 15:44:01,9094,1210,,,,
2023-05-28T13:46:58+00:00,34,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:46:57,9094,1210,77.0,BLUE,,Driver
2023-05-28T13:47:05+00:00,34,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 15:47:05,9094,1210,27.0,BLUE,,Driver
2023-05-28T13:47:19+00:00,35,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:47:18,9094,1210,11.0,BLUE,,Driver
2023-05-28T13:47:32+00:00,35,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 15:47:31,9094,1210,11.0,BLUE,,Driver
2023-05-28T13:47:32+00:00,35,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:47:32,9094,1210,77.0,BLUE,,Driver
2023-05-28T13:48:21+00:00,35,Flag,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 15:48:20,9094,1210,21.0,BLUE,,Driver
2023-05-28T13:48:37+00:00,36,Other,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) REVIEWED NO FURTHER INVESTIGATION - PLACE WAS GIVEN BACK,9094,1210,,,,
2023-05-28T13:49:02+00:00,36,Flag,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 15:49:02,9094,1210,18.0,BLUE,,Driver
2023-05-28T13:49:58+00:00,37,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 15:49:58,9094,1210,20.0,BLUE,,Driver
2023-05-28T13:51:19+00:00,38,Other,CAR 20 (MAG) TIME 1:20.942 DELETED - TRACK LIMITS AT TURN 10 LAP 36 15:50:38,9094,1210,,,,
2023-05-28T13:52:43+00:00,39,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:52:42,9094,1210,77.0,BLUE,,Driver
2023-05-28T13:53:31+00:00,39,Other,TURN 19 INCIDENT INVOLVING CARS 20 (MAG) AND 18 (STR) NOTED - CAUSING A COLLISION,9094,1210,,,,
2023-05-28T13:53:32+00:00,39,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:53:32,9094,1210,2.0,BLUE,,Driver
2023-05-28T13:53:48+00:00,40,Flag,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 15:53:48,9094,1210,21.0,BLUE,,Driver
2023-05-28T13:55:00+00:00,41,Flag,BLACK AND WHITE FLAG FOR CAR 18 (STR) - CAUSING A COLLISION,9094,1210,18.0,BLACK AND WHITE,,Driver
2023-05-28T13:55:03+00:00,41,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:55:03,9094,1210,2.0,BLUE,,Driver
2023-05-28T13:55:22+00:00,41,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 15:55:21,9094,1210,2.0,BLUE,,Driver
2023-05-28T14:00:57+00:00,45,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:00:56,9094,1210,2.0,BLUE,,Driver
2023-05-28T14:03:04+00:00,47,Other,CAR 20 (MAG) TIME 1:18.920 DELETED - TRACK LIMITS AT TURN 10 LAP 45 16:02:27,9094,1210,,,,
2023-05-28T14:06:16+00:00,49,Flag,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:06:15,9094,1210,81.0,BLUE,,Driver
2023-05-28T14:07:33+00:00,50,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:07:32,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:07:58+00:00,51,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:07:57,9094,1210,2.0,BLUE,,Driver
2023-05-28T14:08:09+00:00,51,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:08:09,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:08:20+00:00,51,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:08:20,9094,1210,11.0,BLUE,,Driver
2023-05-28T14:09:03+00:00,52,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:09:02,9094,1210,11.0,BLUE,,Driver
2023-05-28T14:09:16+00:00,52,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:09:16,9094,1210,11.0,BLUE,,Driver
2023-05-28T14:09:29+00:00,52,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:09:28,9094,1210,11.0,BLUE,,Driver
2023-05-28T14:09:51+00:00,52,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:09:51,9094,1210,27.0,BLUE,,Driver
2023-05-28T14:10:21+00:00,52,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,9094,1210,,,,
2023-05-28T14:10:21+00:00,52,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:10:20,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:10:37+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:10:36,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:10:40+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:10:39,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:10:42+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 16:10:41,9094,1210,11.0,BLUE,,Driver
2023-05-28T14:10:45+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:10:44,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:11:13+00:00,53,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,9094,1210,,,,
2023-05-28T14:11:15+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:11:14,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:11:18+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:11:18,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:11:25+00:00,53,Other,CAR 23 (ALB) TIME 1:29.941 DELETED - TRACK LIMITS AT TURN 11 LAP 51 16:10:33,9094,1210,,,,
2023-05-28T14:11:34+00:00,53,Other,CAR 31 (OCO) TIME 1:26.990 DELETED - TRACK LIMITS AT TURN 10 LAP 52 16:10:33,9094,1210,,,,
2023-05-28T14:11:42+00:00,53,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:11:41,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:11:49+00:00,53,Other,LOW GRIP CONDITIONS,9094,1210,,,,
2023-05-28T14:11:53+00:00,54,Other,CAR 55 (SAI) TIME 1:26.201 DELETED - TRACK LIMITS AT TURN 10 LAP 52 16:10:34,9094,1210,,,,
2023-05-28T14:12:09+00:00,54,Other,CAR 14 (ALO) TIME 1:30.862 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:11:32,9094,1210,,,,
2023-05-28T14:12:19+00:00,54,Flag,CLEAR IN TRACK SECTOR 3,9094,1210,,CLEAR,3.0,Sector
2023-05-28T14:12:25+00:00,54,Other,CAR 24 (ZHO) TIME 1:30.253 DELETED - TRACK LIMITS AT TURN 10 LAP 51 16:10:32,9094,1210,,,,
2023-05-28T14:12:35+00:00,54,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:12:35,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:12:46+00:00,54,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 11 LAP 52 16:12:10 (PIT),9094,1210,,,,
2023-05-28T14:13:00+00:00,54,Other,CAR 10 (GAS) TIME 1:35.781 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:12:12,9094,1210,,,,
2023-05-28T14:13:02+00:00,54,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:13:01,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:13:09+00:00,54,Flag,CLEAR IN TRACK SECTOR 4,9094,1210,,CLEAR,4.0,Sector
2023-05-28T14:13:17+00:00,54,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 10,9094,1210,,,,
2023-05-28T14:13:20+00:00,54,Flag,CLEAR IN TRACK SECTOR 10,9094,1210,,CLEAR,10.0,Sector
2023-05-28T14:13:23+00:00,54,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:13:22,9094,1210,27.0,BLUE,,Driver
2023-05-28T14:13:32+00:00,55,Flag,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,9094,1210,23.0,BLACK AND WHITE,,Driver
2023-05-28T14:13:34+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:13:33,9094,1210,77.0,BLUE,,Driver
2023-05-28T14:13:45+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:13:44,9094,1210,27.0,BLUE,,Driver
2023-05-28T14:14:08+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 27 (HUL) TIMED AT 16:14:07,9094,1210,27.0,BLUE,,Driver
2023-05-28T14:14:09+00:00,55,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:30 (PIT),9094,1210,,,,
2023-05-28T14:14:21+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 16:14:20,9094,1210,21.0,BLUE,,Driver
2023-05-28T14:14:42+00:00,55,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:40 (PIT),9094,1210,,,,
2023-05-28T14:14:44+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:14:43,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:14:45+00:00,55,Flag,YELLOW IN TRACK SECTOR 7,9094,1210,,YELLOW,7.0,Sector
2023-05-28T14:14:52+00:00,55,Flag,CLEAR IN TRACK SECTOR 7,9094,1210,,CLEAR,7.0,Sector
2023-05-28T14:14:53+00:00,55,Flag,YELLOW IN TRACK SECTOR 7,9094,1210,,YELLOW,7.0,Sector
2023-05-28T14:15:02+00:00,55,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,9094,1210,,DOUBLE YELLOW,7.0,Sector
2023-05-28T14:15:10+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:15:10,9094,1210,77.0,BLUE,,Driver
2023-05-28T14:15:12+00:00,55,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:15:11,9094,1210,2.0,BLUE,,Driver
2023-05-28T14:15:29+00:00,55,Flag,CLEAR IN TRACK SECTOR 7,9094,1210,,CLEAR,7.0,Sector
2023-05-28T14:15:35+00:00,55,Flag,YELLOW IN TRACK SECTOR 8,9094,1210,,YELLOW,8.0,Sector
2023-05-28T14:15:44+00:00,56,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,9094,1210,,DOUBLE YELLOW,9.0,Sector
2023-05-28T14:15:48+00:00,56,Flag,YELLOW IN TRACK SECTOR 9,9094,1210,,YELLOW,9.0,Sector
2023-05-28T14:16:00+00:00,56,Flag,CLEAR IN TRACK SECTOR 9,9094,1210,,CLEAR,9.0,Sector
2023-05-28T14:16:19+00:00,56,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 1,9094,1210,,,,
2023-05-28T14:16:28+00:00,56,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,9094,1210,,,,
2023-05-28T14:16:41+00:00,56,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:16:40,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:16:47+00:00,56,Flag,CLEAR IN TRACK SECTOR 8,9094,1210,,CLEAR,8.0,Sector
2023-05-28T14:16:51+00:00,56,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,9094,1210,,DOUBLE YELLOW,8.0,Sector
2023-05-28T14:16:53+00:00,56,Flag,YELLOW IN TRACK SECTOR 8,9094,1210,,YELLOW,8.0,Sector
2023-05-28T14:16:55+00:00,56,Flag,CLEAR IN TRACK SECTOR 8,9094,1210,,CLEAR,8.0,Sector
2023-05-28T14:17:06+00:00,56,Flag,CLEAR IN TRACK SECTOR 19,9094,1210,,CLEAR,19.0,Sector
2023-05-28T14:17:11+00:00,56,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:17:11,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:17:25+00:00,56,Other,CAR 27 (HUL) TIME 1:40.881 DELETED - TRACK LIMITS AT TURN 10 LAP 53 16:13:36,9094,1210,,,,
2023-05-28T14:17:27+00:00,56,Other,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 54 16:13:49 (PIT),9094,1210,,,,
2023-05-28T14:18:00+00:00,57,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:00,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:18:05+00:00,57,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:05,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:18:13+00:00,57,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:12,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:18:26+00:00,57,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:25,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:18:40+00:00,57,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,9094,1210,,,,
2023-05-28T14:18:40+00:00,57,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:18:40,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:18:51+00:00,57,Flag,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:18:50,9094,1210,23.0,BLUE,,Driver
2023-05-28T14:19:10+00:00,57,Other,CAR 14 (ALO) TIME 2:06.635 DELETED - TRACK LIMITS AT TURN 10 LAP 55 16:15:04,9094,1210,,,,
2023-05-28T14:19:13+00:00,58,Other,CAR 20 (MAG) TIME 2:07.055 DELETED - TRACK LIMITS AT TURN 11 LAP 55 16:17:18,9094,1210,,,,
2023-05-28T14:19:26+00:00,58,Other,TURN 5 INCIDENT INVOLVING CARS 63 (RUS) AND 11 (PER) NOTED - UNSAFE REJOIN,9094,1210,,,,
2023-05-28T14:19:58+00:00,58,Flag,BLACK AND WHITE FLAG FOR CAR 20 (MAG) - TRACK LIMITS,9094,1210,20.0,BLACK AND WHITE,,Driver
2023-05-28T14:20:04+00:00,58,Other,CAR 14 (ALO) TIME 1:42.581 DELETED - TRACK LIMITS AT TURN 16 LAP 57 16:19:14,9094,1210,,,,
2023-05-28T14:20:09+00:00,58,Flag,WAVED BLUE FLAG FOR CAR 21 (DEV) TIMED AT 16:20:08,9094,1210,21.0,BLUE,,Driver
2023-05-28T14:20:09+00:00,58,Flag,YELLOW IN TRACK SECTOR 17,9094,1210,,YELLOW,17.0,Sector
2023-05-28T14:20:25+00:00,58,Flag,CLEAR IN TRACK SECTOR 17,9094,1210,,CLEAR,17.0,Sector
2023-05-28T14:21:00+00:00,59,Flag,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - TRACK LIMITS,9094,1210,14.0,BLACK AND WHITE,,Driver
2023-05-28T14:21:10+00:00,59,Flag,YELLOW IN TRACK SECTOR 8,9094,1210,,YELLOW,8.0,Sector
2023-05-28T14:21:11+00:00,59,Flag,YELLOW IN TRACK SECTOR 15,9094,1210,,YELLOW,15.0,Sector
2023-05-28T14:21:14+00:00,59,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:21:14,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:21:15+00:00,59,Flag,CLEAR IN TRACK SECTOR 15,9094,1210,,CLEAR,15.0,Sector
