date,lap_number,category,message,session_key,meeting_key,driver_number,flag,sector,scope
2023-05-28T14:21:23+00:00,59,Flag,CLEAR IN TRACK SECTOR 8,9094,1210,,CLEAR,8.0,Sector
2023-05-28T14:21:35+00:00,59,Other, INCIDENT INVOLVING CAR 2 (SAR) NOTED - SPEEDING IN THE PIT LANE,9094,1210,,,,
2023-05-28T14:21:42+00:00,59,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 2 (SAR) UNDER INVESTIGATION - SPEEDING IN THE PIT LANE,9094,1210,,,,
2023-05-28T14:21:54+00:00,59,Other,FIA STEWARDS: TURN 5 INCIDENT INVOLVING CARS 63 (RUS) AND 11 (PER) UNDER INVESTIGATION - UNSAFE REJOIN,9094,1210,,,,
2023-05-28T14:22:08+00:00,59,Flag,WAVED BLUE FLAG FOR CAR 20 (MAG) TIMED AT 16:22:07,9094,1210,20.0,BLUE,,Driver
2023-05-28T14:22:08+00:00,59,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 2 (SAR) - SPEEDING IN THE PIT LANE,9094,1210,,,,
2023-05-28T14:22:20+00:00,59,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 63 (RUS) - UNSAFE REJOIN,9094,1210,,,,
2023-05-28T14:23:06+00:00,60,Other,CAR 21 (DEV) TIME 1:43.778 DELETED - TRACK LIMITS AT TURN 10 LAP 58 16:22:23,9094,1210,,,,
2023-05-28T14:23:12+00:00,60,Flag,YELLOW IN TRACK SECTOR 2,9094,1210,,YELLOW,2.0,Sector
2023-05-28T14:23:12+00:00,60,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,9094,1210,,DOUBLE YELLOW,2.0,Sector
2023-05-28T14:23:13+00:00,60,Other,DRS DISABLED IN ZONE 1,9094,1210,,,,
2023-05-28T14:23:50+00:00,60,Other,DRS ENABLED IN ZONE 1,9094,1210,,,,
2023-05-28T14:23:50+00:00,60,Flag,CLEAR IN TRACK SECTOR 2,9094,1210,,CLEAR,2.0,Sector
2023-05-28T14:24:06+00:00,60,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2,9094,1210,,,,
2023-05-28T14:24:17+00:00,60,Other,INCIDENT INVOLVING CAR 27 (HUL) NOTED - SERVING PENALTY INCORRECTLY ,9094,1210,,,,
2023-05-28T14:24:21+00:00,61,Other,CAR 23 (ALB) TIME 1:46.101 DELETED - TRACK LIMITS AT TURN 11 LAP 58 16:22:39,9094,1210,,,,
2023-05-28T14:25:32+00:00,61,Flag,YELLOW IN TRACK SECTOR 7,9094,1210,,YELLOW,7.0,Sector
2023-05-28T14:25:42+00:00,61,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,9094,1210,,DOUBLE YELLOW,7.0,Sector
2023-05-28T14:25:45+00:00,61,Flag,CLEAR IN TRACK SECTOR 7,9094,1210,,CLEAR,7.0,Sector
2023-05-28T14:25:49+00:00,61,Other,CAR 11 (PER) TIME 1:40.595 DELETED - TRACK LIMITS AT TURN 10 LAP 59 16:24:45,9094,1210,,,,
2023-05-28T14:26:12+00:00,62,Other,CAR 4 (NOR) TIME 1:41.789 DELETED - TRACK LIMITS AT TURN 11 LAP 60 16:25:25,9094,1210,,,,
2023-05-28T14:28:06+00:00,63,Other,CAR 81 (PIA) TIME 1:41.089 DELETED - TRACK LIMITS AT TURN 10 LAP 61 16:27:07,9094,1210,,,,
2023-05-28T14:28:59+00:00,63,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 27 (HUL) UNDER INVESTIGATION - SERVING PENALTY INCORRECTLY ,9094,1210,,,,
2023-05-28T14:29:26+00:00,64,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 27 (HUL) - SERVING PENALTY INCORRECTLY ,9094,1210,,,,
2023-05-28T14:30:58+00:00,64,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:30:57,9094,1210,2.0,BLUE,,Driver
2023-05-28T14:31:13+00:00,65,Flag,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:31:13,9094,1210,2.0,BLUE,,Driver
2023-05-28T14:31:58+00:00,65,Flag,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:31:57,9094,1210,22.0,BLUE,,Driver
2023-05-28T14:32:10+00:00,65,Flag,CLEAR IN TRACK SECTOR 1,9094,1210,,CLEAR,1.0,Sector
2023-05-28T14:32:13+00:00,65,Flag,CLEAR IN TRACK SECTOR 2,9094,1210,,CLEAR,2.0,Sector
2023-05-28T14:32:20+00:00,65,Flag,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:32:19,9094,1210,24.0,BLUE,,Driver
2023-05-28T14:32:41+00:00,66,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,9094,1210,,,,
2023-05-28T14:32:43+00:00,66,Flag,CLEAR IN TRACK SECTOR 6,9094,1210,,CLEAR,6.0,Sector
