session_key,meeting_key,date,category,flag,lap_number,message,driver_number,scope,sector
9523,1236,2024-05-26T14:37:38+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:37,77.0,Driver,
9523,1236,2024-05-26T14:37:46+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:37:45,77.0,Driver,
9523,1236,2024-05-26T14:38:23+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:38:22,24.0,Driver,
9523,1236,2024-05-26T14:38:29+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:38:29,24.0,Driver,
9523,1236,2024-05-26T14:38:36+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:38:35,2.0,Driver,
9523,1236,2024-05-26T14:38:49+00:00,Flag,BLUE,41,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:38:48,24.0,Driver,
9523,1236,2024-05-26T14:38:55+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:38:54,3.0,Driver,
9523,1236,2024-05-26T14:38:56+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:38:56,2.0,Driver,
9523,1236,2024-05-26T14:39:32+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:39:32,14.0,Driver,
9523,1236,2024-05-26T14:39:36+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:39:35,3.0,Driver,
9523,1236,2024-05-26T14:39:57+00:00,Flag,BLUE,42,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:39:57,14.0,Driver,
9523,1236,2024-05-26T14:41:38+00:00,Flag,BLUE,44,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:41:37,18.0,Driver,
9523,1236,2024-05-26T14:49:01+00:00,Flag,BLUE,49,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:49:00,24.0,Driver,
9523,1236,2024-05-26T14:49:15+00:00,Flag,BLUE,49,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:49:14,24.0,Driver,
9523,1236,2024-05-26T14:49:29+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:49:29,2.0,Driver,
9523,1236,2024-05-26T14:49:33+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:49:32,77.0,Driver,
9523,1236,2024-05-26T14:49:37+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:49:37,24.0,Driver,
9523,1236,2024-05-26T14:49:44+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:49:43,2.0,Driver,
9523,1236,2024-05-26T14:49:59+00:00,Flag,BLUE,50,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:49:59,2.0,Driver,
9523,1236,2024-05-26T14:50:08+00:00,Other,,50,CAR 18 (STR) TIME 1:49.132 DELETED - TRACK LIMITS AT TURN 16 LAP 48 16:49:14,,,
9523,1236,2024-05-26T14:51:36+00:00,Flag,BLUE,51,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:51:35,10.0,Driver,
9523,1236,2024-05-26T14:52:01+00:00,Flag,BLUE,52,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:52:00,10.0,Driver,
9523,1236,2024-05-26T14:52:23+00:00,Flag,BLUE,52,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 16:52:22,10.0,Driver,
9523,1236,2024-05-26T14:53:06+00:00,Flag,BLUE,52,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:53:05,3.0,Driver,
9523,1236,2024-05-26T14:53:32+00:00,Flag,DOUBLE YELLOW,53,DOUBLE YELLOW IN TRACK SECTOR 13,,Sector,13.0
9523,1236,2024-05-26T14:53:33+00:00,Flag,BLUE,53,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:53:32,14.0,Driver,
9523,1236,2024-05-26T14:53:36+00:00,Flag,CLEAR,53,CLEAR IN TRACK SECTOR 13,,Sector,13.0
9523,1236,2024-05-26T14:55:33+00:00,Flag,BLUE,54,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:55:33,18.0,Driver,
9523,1236,2024-05-26T14:55:34+00:00,Flag,BLUE,54,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:55:33,23.0,Driver,
9523,1236,2024-05-26T14:55:55+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:55:54,24.0,Driver,
9523,1236,2024-05-26T14:55:59+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 16:55:58,23.0,Driver,
9523,1236,2024-05-26T14:56:01+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:56:00,2.0,Driver,
9523,1236,2024-05-26T14:56:06+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 16:56:05,18.0,Driver,
9523,1236,2024-05-26T14:56:23+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 16:56:23,24.0,Driver,
9523,1236,2024-05-26T14:56:35+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:56:34,22.0,Driver,
9523,1236,2024-05-26T14:56:35+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 16:56:35,2.0,Driver,
9523,1236,2024-05-26T14:56:42+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:56:42,22.0,Driver,
9523,1236,2024-05-26T14:56:51+00:00,Flag,BLUE,55,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 16:56:50,22.0,Driver,
9523,1236,2024-05-26T14:58:47+00:00,Flag,BLUE,57,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:58:46,77.0,Driver,
9523,1236,2024-05-26T14:59:03+00:00,Flag,BLUE,57,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 16:59:03,3.0,Driver,
9523,1236,2024-05-26T14:59:15+00:00,Flag,BLUE,57,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 16:59:14,14.0,Driver,
9523,1236,2024-05-26T14:59:58+00:00,Other,,58,CAR 14 (ALO) TIME 1:23.377 DELETED - TRACK LIMITS AT TURN 10 LAP 52 16:54:24,,,
9523,1236,2024-05-26T15:00:08+00:00,Flag,BLUE,58,WAVED BLUE FLAG FOR CAR 3 (RIC) TIMED AT 17:00:07,3.0,Driver,
9523,1236,2024-05-26T15:00:29+00:00,Flag,BLUE,58,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 17:00:29,14.0,Driver,
9523,1236,2024-05-26T15:01:36+00:00,Other,,59,CAR 44 (HAM) TIME 1:16.855 DELETED - TRACK LIMITS AT TURN 10 LAP 58 17:01:04,,,
9523,1236,2024-05-26T15:03:03+00:00,Flag,BLUE,60,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 17:03:02,10.0,Driver,
9523,1236,2024-05-26T15:03:38+00:00,Flag,BLUE,61,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 17:03:38,10.0,Driver,
9523,1236,2024-05-26T15:05:23+00:00,Flag,BLUE,62,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 17:05:23,10.0,Driver,
9523,1236,2024-05-26T15:07:31+00:00,Flag,BLUE,64,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 17:07:30,23.0,Driver,
9523,1236,2024-05-26T15:07:49+00:00,Flag,BLUE,64,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 17:07:49,22.0,Driver,
9523,1236,2024-05-26T15:08:13+00:00,Flag,BLUE,64,WAVED BLUE FLAG FOR CAR 23 (ALB) TIMED AT 17:08:12,23.0,Driver,
9523,1236,2024-05-26T15:08:28+00:00,Flag,BLUE,64,WAVED BLUE FLAG FOR CAR 22 (TSU) TIMED AT 17:08:28,22.0,Driver,
9523,1236,2024-05-26T15:13:30+00:00,Flag,BLUE,68,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 17:13:29,2.0,Driver,
9523,1236,2024-05-26T15:13:39+00:00,Flag,BLUE,68,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 17:13:39,2.0,Driver,
9523,1236,2024-05-26T15:13:48+00:00,Flag,BLUE,69,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:13:48,24.0,Driver,
9523,1236,2024-05-26T15:14:45+00:00,Flag,BLUE,69,WAVED BLUE FLAG FOR CAR 2 (SAR) TIMED AT 17:14:44,2.0,Driver,
9523,1236,2024-05-26T15:15:03+00:00,Flag,BLUE,70,WAVED BLUE FLAG FOR CAR 24 (ZHO) TIMED AT 17:15:02,24.0,Driver,
