meeting_key,session_key,driver_number,i1_speed,i2_speed,st_speed,date_start,lap_duration,is_pit_out_lap,duration_sector_1,duration_sector_2,duration_sector_3,segments_sector_1,segments_sector_2,segments_sector_3,lap_number
1236,9523,1,166.0,172,258.0,2024-05-26T13:51:20.348000+00:00,83.787,False,21.761,39.71,22.316,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2048]",6
1236,9523,2,,165,276.0,2024-05-26T13:51:26.952000+00:00,82.739,False,21.755,38.678,22.306,"[2048, 2048, 2051, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2048]",6
1236,9523,3,192.0,165,273.0,2024-05-26T13:51:26.120000+00:00,82.748,False,21.911,38.8,22.037,"[None, 2049, 2048, 2048, 2048, 2049]","[2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",6
1236,9523,4,191.0,184,272.0,2024-05-26T13:51:17.480000+00:00,81.804,False,21.361,38.233,22.21,"[2051, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",6
1236,9523,10,176.0,177,279.0,2024-05-26T13:51:23.817000+00:00,83.106,False,22.068,38.953,22.085,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2049, 2048, 2048]",6
1236,9523,14,183.0,166,268.0,2024-05-26T13:51:25.732000+00:00,82.711,False,21.899,38.932,21.88,"[None, 2048, 2048, 2048, 2048, 2049]","[2049, 2051, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 0]",6
1236,9523,16,190.0,179,271.0,2024-05-26T13:51:14.698000+00:00,81.145,False,21.568,38.168,21.409,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048]",6
1236,9523,18,167.0,175,285.0,2024-05-26T13:51:24.386000+00:00,82.977,False,22.27,38.549,22.158,"[2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2049, 2051, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",6
1236,9523,22,186.0,171,266.0,2024-05-26T13:51:22.720000+00:00,83.224,False,21.974,38.856,22.394,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048]","[2049, 2049, 2049, 2049, 2048]",6
1236,9523,23,172.0,175,274.0,2024-05-26T13:51:23.054000+00:00,83.416,False,22.168,39.171,22.077,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",6
1236,9523,24,168.0,180,281.0,2024-05-26T13:51:27.484000+00:00,82.649,False,21.728,38.731,22.19,"[2048, 2048, 2049, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2049]",6
1236,9523,44,189.0,171,276.0,2024-05-26T13:51:22.186000+00:00,83.369,False,21.938,38.711,22.72,"[2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2049]",6
1236,9523,55,194.0,177,278.0,2024-05-26T13:51:16.306000+00:00,81.163,False,21.397,38.217,21.549,"[None, 2049, 2049, 2049, 2048, 2049]","[2049, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",6
1236,9523,63,178.0,164,254.0,2024-05-26T13:51:18.847000+00:00,83.012,False,21.79,39.146,22.076,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2051, 2048, 2048]",6
1236,9523,77,179.0,173,284.0,2024-05-26T13:51:26.305000+00:00,82.868,False,22.058,38.681,22.129,"[None, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",6
1236,9523,81,181.0,179,275.0,2024-05-26T13:51:15.696000+00:00,81.354,False,21.409,38.129,21.816,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049]",6
1236,9523,1,168.0,172,263.0,2024-05-26T13:52:44.055000+00:00,81.283,False,21.383,38.2,21.7,"[None, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",7
1236,9523,2,182.0,167,275.0,2024-05-26T13:52:49.716000+00:00,82.899,False,21.942,38.54,22.417,"[None, 2048, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",7
1236,9523,3,180.0,164,272.0,2024-05-26T13:52:48.948000+00:00,82.747,False,22.074,38.612,22.061,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048]",7
1236,9523,4,189.0,182,275.0,2024-05-26T13:52:39.165000+00:00,80.828,False,21.045,37.917,21.866,"[2049, 2048, 2049, 2049, 2048, 2049]","[2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2049, 2049, 2049, 2048, 2048]",7
1236,9523,10,180.0,185,281.0,2024-05-26T13:52:46.943000+00:00,82.233,False,21.836,38.367,22.03,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048]","[2048, 2048, 2049, 2049, 2048]",7
1236,9523,14,182.0,158,281.0,2024-05-26T13:52:48.550000+00:00,82.866,False,22.196,38.682,21.988,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048]",7
1236,9523,16,193.0,175,271.0,2024-05-26T13:52:35.923000+00:00,80.98,False,21.37,38.056,21.554,"[2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2051, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2048]",7
1236,9523,18,165.0,180,277.0,2024-05-26T13:52:47.338000+00:00,82.634,False,22.108,38.619,21.907,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2051, 2048, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2048]",7
1236,9523,22,187.0,181,274.0,2024-05-26T13:52:46.063000+00:00,81.826,False,22.013,38.129,21.684,"[2048, 2048, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2049, 2049, 2049, 2049]",7
1236,9523,23,173.0,173,278.0,2024-05-26T13:52:46.529000+00:00,81.913,False,21.895,38.406,21.612,"[None, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048]",7
1236,9523,24,161.0,178,282.0,2024-05-26T13:52:50.166000+00:00,82.934,False,22.206,38.439,22.289,"[None, 2048, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2048]",7
1236,9523,44,185.0,184,277.0,2024-05-26T13:52:45.587000+00:00,81.463,False,21.905,37.709,21.849,"[None, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049]",7
1236,9523,55,192.0,169,279.0,2024-05-26T13:52:37.455000+00:00,81.466,False,21.283,38.239,21.944,"[2048, 2049, 2049, 2049, 2049, 2049]","[2051, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2051, 2049, 0]",7
1236,9523,63,187.0,173,255.0,2024-05-26T13:52:41.754000+00:00,81.415,False,21.818,38.119,21.478,"[2048, 2048, 2048, 2049, 2048, 2048]","[2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",7
1236,9523,77,180.0,176,283.0,2024-05-26T13:52:49.281000+00:00,82.832,False,22.041,38.592,22.199,"[None, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2049]","[2048, 2049, 2048, 2048, 2049]",7
