Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.098000,2023-05-28 13:03:04.025,10098.0,1,24.0,False,1,car,1.0,2
0 days 00:00:00.378000,2023-05-28 13:03:04.305,10155.0,1,24.0,False,1,car,1.0,2
0 days 00:00:00.618000,2023-05-28 13:03:04.545,8615.0,1,29.0,False,1,car,1.0,2
0 days 00:00:00.858000,2023-05-28 13:03:04.785,6935.0,1,31.0,False,1,car,1.0,2
0 days 00:00:01.178000,2023-05-28 13:03:05.105,6379.0,1,32.0,False,1,car,1.0,2
0 days 00:00:01.458000,2023-05-28 13:03:05.385,7326.0,1,35.0,False,1,car,1.0,2
0 days 00:00:01.698000,2023-05-28 13:03:05.625,7725.0,1,36.0,False,1,car,1.0,2
0 days 00:00:01.858000,2023-05-28 13:03:05.785,7649.0,1,37.0,False,1,car,1.0,2
0 days 00:00:02.058000,2023-05-28 13:03:05.985,8265.0,1,40.0,False,1,car,1.0,2
0 days 00:00:02.258000,2023-05-28 13:03:06.185,8402.0,1,44.0,False,1,car,1.0,2
0 days 00:00:02.538000,2023-05-28 13:03:06.465,10017.0,1,53.0,False,1,car,1.0,2
0 days 00:00:02.937000,2023-05-28 13:03:06.864,11586.0,1,60.0,False,1,car,1.0,2
0 days 00:00:03.217000,2023-05-28 13:03:07.144,12472.0,1,70.0,False,1,car,1.0,2
0 days 00:00:03.497000,2023-05-28 13:03:07.424,11352.0,2,74.0,False,1,car,1.0,2
0 days 00:00:03.697000,2023-05-28 13:03:07.624,11817.0,2,76.0,False,1,car,1.0,2
0 days 00:00:03.857000,2023-05-28 13:03:07.784,11699.0,2,77.0,False,1,car,1.0,2
0 days 00:00:04.057000,2023-05-28 13:03:07.984,12599.0,2,86.0,False,1,car,1.0,2
0 days 00:00:04.337000,2023-05-28 13:03:08.264,11376.0,2,95.0,False,1,car,1.0,2
0 days 00:00:04.577000,2023-05-28 13:03:08.504,11916.0,3,98.0,False,1,car,1.0,2
0 days 00:00:04.777000,2023-05-28 13:03:08.704,12510.0,3,100.0,False,1,car,1.0,2
0 days 00:00:05.017000,2023-05-28 13:03:08.944,12230.0,3,100.0,False,1,car,1.0,2
0 days 00:00:05.258000,2023-05-28 13:03:09.185,11750.0,3,100.0,False,1,car,1.0,2
0 days 00:00:05.538000,2023-05-28 13:03:09.465,12150.0,4,100.0,False,1,car,1.0,2
0 days 00:00:05.698000,2023-05-28 13:03:09.625,12536.0,4,100.0,False,1,car,1.0,2
0 days 00:00:05.938000,2023-05-28 13:03:09.865,11691.0,4,100.0,False,1,car,1.0,2
0 days 00:00:06.098000,2023-05-28 13:03:10.025,11450.0,5,0.0,True,1,car,1.0,2
0 days 00:00:06.298000,2023-05-28 13:03:10.225,11242.0,5,0.0,True,1,car,1.0,2
0 days 00:00:06.578000,2023-05-28 13:03:10.505,9702.0,5,0.0,True,1,car,1.0,2
0 days 00:00:06.818000,2023-05-28 13:03:10.745,9549.0,5,23.0,False,1,car,1.0,2
0 days 00:00:07.138000,2023-05-28 13:03:11.065,8731.0,5,0.0,True,1,car,1.0,2
0 days 00:00:07.378000,2023-05-28 13:03:11.305,9590.0,5,1.0,False,1,car,1.0,2
0 days 00:00:07.538000,2023-05-28 13:03:11.465,9310.0,4,8.0,True,1,car,1.0,2
0 days 00:00:07.778000,2023-05-28 13:03:11.705,9190.0,4,0.0,True,1,car,1.0,2
0 days 00:00:08.258000,2023-05-28 13:03:12.185,8340.0,3,0.0,True,1,car,1.0,2
0 days 00:00:08.578000,2023-05-28 13:03:12.505,8769.0,3,0.0,False,1,car,1.0,2
0 days 00:00:08.858000,2023-05-28 13:03:12.785,9219.0,2,0.0,True,1,car,1.0,2
0 days 00:00:09.098000,2023-05-28 13:03:13.025,8659.0,2,0.0,False,1,car,1.0,2
0 days 00:00:09.298000,2023-05-28 13:03:13.225,7827.0,2,0.0,True,1,car,1.0,2
0 days 00:00:09.458000,2023-05-28 13:03:13.385,7223.0,2,0.0,True,1,car,1.0,2
0 days 00:00:09.857000,2023-05-28 13:03:13.784,6492.0,2,0.0,True,1,car,1.0,2
0 days 00:00:10.017000,2023-05-28 13:03:13.944,6281.0,2,0.0,True,1,car,1.0,2
0 days 00:00:10.217000,2023-05-28 13:03:14.144,6156.0,2,0.0,False,1,car,1.0,2
0 days 00:00:10.417000,2023-05-28 13:03:14.344,5897.0,2,16.0,True,1,car,1.0,2
0 days 00:00:10.737000,2023-05-28 13:03:14.664,5380.0,2,0.0,False,1,car,1.0,2
0 days 00:00:11.017000,2023-05-28 13:03:14.944,5924.0,2,6.0,False,1,car,1.0,2
0 days 00:00:11.257000,2023-05-28 13:03:15.184,6250.0,2,27.0,False,1,car,1.0,2
0 days 00:00:11.457000,2023-05-28 13:03:15.384,6624.0,2,23.0,False,1,car,1.0,2
0 days 00:00:11.697000,2023-05-28 13:03:15.624,6624.0,2,23.0,False,1,car,1.0,2
0 days 00:00:11.978000,2023-05-28 13:03:15.905,6893.0,2,29.0,False,1,car,1.0,2
0 days 00:00:12.178000,2023-05-28 13:03:16.105,7262.0,2,16.0,False,1,car,1.0,2
0 days 00:00:12.378000,2023-05-28 13:03:16.305,7822.0,2,31.0,False,1,car,1.0,2
0 days 00:00:12.538000,2023-05-28 13:03:16.465,8077.0,2,41.0,False,1,car,1.0,2
0 days 00:00:12.978000,2023-05-28 13:03:16.905,9337.0,2,61.0,False,1,car,1.0,2
