Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.071000,2019-05-26 13:12:46.052,10453.0,1,22.0,False,1,car,1.0,11
0 days 00:00:00.311000,2019-05-26 13:12:46.292,10640.0,1,22.0,False,1,car,1.0,11
0 days 00:00:00.551000,2019-05-26 13:12:46.532,9380.0,1,27.0,False,1,car,1.0,11
0 days 00:00:00.752000,2019-05-26 13:12:46.733,7980.0,1,28.0,False,1,car,1.0,11
0 days 00:00:00.992000,2019-05-26 13:12:46.973,6300.0,1,28.0,False,1,car,1.0,11
0 days 00:00:01.231000,2019-05-26 13:12:47.212,4620.0,1,29.0,False,1,car,1.0,11
0 days 00:00:01.511000,2019-05-26 13:12:47.492,5048.0,1,32.0,False,1,car,1.0,11
0 days 00:00:01.751000,2019-05-26 13:12:47.732,6168.0,1,37.0,False,1,car,1.0,11
0 days 00:00:01.990000,2019-05-26 13:12:47.971,7260.0,1,43.0,False,1,car,1.0,11
0 days 00:00:02.230000,2019-05-26 13:12:48.211,8886.0,1,49.0,False,1,car,1.0,11
0 days 00:00:02.431000,2019-05-26 13:12:48.412,10286.0,1,52.0,False,1,car,1.0,11
0 days 00:00:02.671000,2019-05-26 13:12:48.652,11518.0,1,62.0,False,1,car,1.0,11
0 days 00:00:02.911000,2019-05-26 13:12:48.892,12890.0,1,68.0,False,1,car,1.0,11
0 days 00:00:03.151000,2019-05-26 13:12:49.132,12329.0,1,72.0,False,1,car,1.0,11
0 days 00:00:03.391000,2019-05-26 13:12:49.372,11580.0,2,83.0,False,1,car,1.0,11
0 days 00:00:03.671000,2019-05-26 13:12:49.652,12658.0,2,100.0,False,1,car,1.0,11
0 days 00:00:03.912000,2019-05-26 13:12:49.893,11140.0,3,99.0,False,1,car,1.0,11
0 days 00:00:04.151000,2019-05-26 13:12:50.132,12392.0,3,100.0,False,1,car,1.0,11
0 days 00:00:04.391000,2019-05-26 13:12:50.372,12686.0,3,100.0,False,1,car,1.0,11
0 days 00:00:04.631000,2019-05-26 13:12:50.612,11286.0,4,99.0,False,1,car,1.0,11
0 days 00:00:04.871000,2019-05-26 13:12:50.852,12199.0,4,99.0,False,1,car,1.0,11
0 days 00:00:05.112000,2019-05-26 13:12:51.093,12222.0,4,100.0,False,1,car,1.0,11
0 days 00:00:05.351000,2019-05-26 13:12:51.332,10999.0,5,99.0,False,1,car,1.0,11
0 days 00:00:05.552000,2019-05-26 13:12:51.533,11308.0,5,100.0,False,1,car,1.0,11
0 days 00:00:05.791000,2019-05-26 13:12:51.772,11496.0,5,100.0,True,1,car,1.0,11
0 days 00:00:06.031000,2019-05-26 13:12:52.012,10541.0,5,11.0,True,1,car,1.0,11
0 days 00:00:06.271000,2019-05-26 13:12:52.252,9981.0,5,0.0,True,1,car,1.0,11
0 days 00:00:06.472000,2019-05-26 13:12:52.453,9334.0,5,0.0,True,1,car,1.0,11
0 days 00:00:06.712000,2019-05-26 13:12:52.693,9886.0,5,0.0,True,1,car,1.0,11
0 days 00:00:06.952000,2019-05-26 13:12:52.933,9870.0,4,5.0,True,1,car,1.0,11
0 days 00:00:07.192000,2019-05-26 13:12:53.173,9633.0,4,11.0,False,1,car,1.0,11
0 days 00:00:07.431000,2019-05-26 13:12:53.412,8566.0,4,0.0,True,1,car,1.0,11
0 days 00:00:07.671000,2019-05-26 13:12:53.652,8573.0,4,0.0,True,1,car,1.0,11
0 days 00:00:07.872000,2019-05-26 13:12:53.853,9081.0,3,1.0,True,1,car,1.0,11
0 days 00:00:08.112000,2019-05-26 13:12:54.093,8467.0,3,4.0,True,1,car,1.0,11
0 days 00:00:08.351000,2019-05-26 13:12:54.332,7970.0,3,0.0,True,1,car,1.0,11
0 days 00:00:08.591000,2019-05-26 13:12:54.572,7393.0,3,10.0,True,1,car,1.0,11
