Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.221000,2022-05-29 14:05:00.448,4024.0,0,0.0,False,1,car,1.0,24
0 days 00:00:00.381000,2022-05-29 14:05:00.608,3975.0,0,0.0,False,1,car,1.0,24
0 days 00:00:00.541000,2022-05-29 14:05:00.768,3911.0,0,0.0,False,1,car,1.0,24
0 days 00:00:00.781000,2022-05-29 14:05:01.008,4022.0,0,0.0,False,1,car,1.0,24
0 days 00:00:01.021000,2022-05-29 14:05:01.248,3976.0,0,0.0,False,1,car,1.0,24
0 days 00:00:01.501000,2022-05-29 14:05:01.728,3999.0,0,0.0,False,1,car,1.0,24
0 days 00:00:01.741000,2022-05-29 14:05:01.968,3977.0,0,0.0,False,1,car,1.0,24
0 days 00:00:01.941000,2022-05-29 14:05:02.168,4005.0,0,0.0,False,1,car,1.0,24
0 days 00:00:02.260000,2022-05-29 14:05:02.487,4016.0,0,0.0,False,1,car,1.0,24
0 days 00:00:02.540000,2022-05-29 14:05:02.767,3960.0,0,0.0,False,1,car,1.0,24
0 days 00:00:02.740000,2022-05-29 14:05:02.967,4016.0,0,0.0,False,1,car,1.0,24
0 days 00:00:02.980000,2022-05-29 14:05:03.207,4052.0,0,0.0,False,1,car,1.0,24
0 days 00:00:03.340000,2022-05-29 14:05:03.567,3943.0,0,0.0,False,1,car,1.0,24
0 days 00:00:03.740000,2022-05-29 14:05:03.967,3990.0,0,0.0,False,1,car,1.0,24
0 days 00:00:04.860000,2022-05-29 14:05:05.087,4126.0,0,0.0,False,1,car,1.0,24
0 days 00:00:05.060000,2022-05-29 14:05:05.287,3961.0,0,0.0,False,1,car,1.0,24
0 days 00:00:05.300000,2022-05-29 14:05:05.527,3964.0,0,0.0,False,1,car,1.0,24
0 days 00:00:05.540000,2022-05-29 14:05:05.767,3940.0,0,0.0,False,1,car,1.0,24
0 days 00:00:05.861000,2022-05-29 14:05:06.088,3998.0,0,0.0,False,1,car,1.0,24
0 days 00:00:06.181000,2022-05-29 14:05:06.408,4041.0,0,0.0,False,1,car,1.0,24
0 days 00:00:06.421000,2022-05-29 14:05:06.648,3946.0,0,0.0,False,1,car,1.0,24
0 days 00:00:06.661000,2022-05-29 14:05:06.888,4042.0,0,0.0,False,1,car,1.0,24
0 days 00:00:06.941000,2022-05-29 14:05:07.168,3948.0,0,0.0,False,1,car,1.0,24
0 days 00:00:07.181000,2022-05-29 14:05:07.408,3959.0,0,0.0,False,1,car,1.0,24
0 days 00:00:07.341000,2022-05-29 14:05:07.568,4001.0,0,0.0,False,1,car,1.0,24
0 days 00:00:07.701000,2022-05-29 14:05:07.928,4048.0,0,0.0,False,1,car,1.0,24
0 days 00:00:08.101000,2022-05-29 14:05:08.328,3989.0,0,0.0,False,1,car,1.0,24
0 days 00:00:08.261000,2022-05-29 14:05:08.488,3997.0,0,0.0,False,1,car,1.0,24
0 days 00:00:08.541000,2022-05-29 14:05:08.768,4019.0,0,0.0,False,1,car,1.0,24
0 days 00:00:08.900000,2022-05-29 14:05:09.127,4023.0,0,0.0,False,1,car,1.0,24
0 days 00:00:09.060000,2022-05-29 14:05:09.287,4022.0,0,0.0,False,1,car,1.0,24
0 days 00:00:09.380000,2022-05-29 14:05:09.607,3962.0,0,0.0,False,1,car,1.0,24
0 days 00:00:09.580000,2022-05-29 14:05:09.807,3987.0,0,0.0,False,1,car,1.0,24
0 days 00:00:09.981000,2022-05-29 14:05:10.208,4001.0,0,0.0,False,1,car,1.0,24
0 days 00:00:10.380000,2022-05-29 14:05:10.607,4019.0,0,0.0,False,1,car,1.0,24
0 days 00:00:10.580000,2022-05-29 14:05:10.807,4069.0,0,0.0,False,1,car,1.0,24
0 days 00:00:10.900000,2022-05-29 14:05:11.127,4049.0,0,0.0,False,1,car,1.0,24
0 days 00:00:11.140000,2022-05-29 14:05:11.367,3980.0,0,0.0,False,1,car,1.0,24
0 days 00:00:11.381000,2022-05-29 14:05:11.608,3993.0,0,0.0,False,1,car,1.0,24
0 days 00:00:11.701000,2022-05-29 14:05:11.928,3997.0,0,0.0,False,1,car,1.0,24
0 days 00:00:12.100000,2022-05-29 14:05:12.327,3989.0,0,0.0,False,1,car,1.0,24
0 days 00:00:12.461000,2022-05-29 14:05:12.688,4031.0,0,0.0,False,1,car,1.0,24
0 days 00:00:12.781000,2022-05-29 14:05:13.008,3976.0,0,0.0,False,1,car,1.0,24
0 days 00:00:13.061000,2022-05-29 14:05:13.288,3975.0,0,0.0,False,1,car,1.0,24
0 days 00:00:13.381000,2022-05-29 14:05:13.608,3949.0,0,0.0,False,1,car,1.0,24
0 days 00:00:13.621000,2022-05-29 14:05:13.848,4079.0,0,0.0,False,1,car,1.0,24
0 days 00:00:13.861000,2022-05-29 14:05:14.088,3999.0,0,0.0,False,1,car,1.0,24
0 days 00:00:14.141000,2022-05-29 14:05:14.368,4053.0,0,0.0,False,1,car,1.0,24
