Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.071000,2019-05-26 13:12:46.052,12348.0,1,15.0,False,1,car,1.0,33
0 days 00:00:00.311000,2019-05-26 13:12:46.292,12203.0,1,15.0,False,1,car,1.0,33
0 days 00:00:00.551000,2019-05-26 13:12:46.532,10663.0,1,15.0,False,1,car,1.0,33
0 days 00:00:00.752000,2019-05-26 13:12:46.733,9263.0,1,15.0,False,1,car,1.0,33
0 days 00:00:00.992000,2019-05-26 13:12:46.973,7583.0,1,15.0,False,1,car,1.0,33
0 days 00:00:01.231000,2019-05-26 13:12:47.212,5903.0,1,21.0,False,1,car,1.0,33
0 days 00:00:01.511000,2019-05-26 13:12:47.492,5837.0,1,31.0,False,1,car,1.0,33
0 days 00:00:01.751000,2019-05-26 13:12:47.732,7377.0,1,39.0,False,1,car,1.0,33
0 days 00:00:01.990000,2019-05-26 13:12:47.971,8650.0,1,42.0,False,1,car,1.0,33
0 days 00:00:02.230000,2019-05-26 13:12:48.211,9857.0,1,53.0,False,1,car,1.0,33
0 days 00:00:02.431000,2019-05-26 13:12:48.412,10689.0,1,61.0,False,1,car,1.0,33
0 days 00:00:02.671000,2019-05-26 13:12:48.652,11669.0,1,69.0,False,1,car,1.0,33
0 days 00:00:02.911000,2019-05-26 13:12:48.892,10741.0,2,77.0,False,1,car,1.0,33
0 days 00:00:03.151000,2019-05-26 13:12:49.132,11790.0,2,81.0,False,1,car,1.0,33
0 days 00:00:03.391000,2019-05-26 13:12:49.372,11309.0,2,81.0,False,1,car,1.0,33
0 days 00:00:03.671000,2019-05-26 13:12:49.652,11216.0,3,100.0,False,1,car,1.0,33
0 days 00:00:03.912000,2019-05-26 13:12:49.893,11672.0,3,100.0,False,1,car,1.0,33
0 days 00:00:04.151000,2019-05-26 13:12:50.132,10272.0,3,100.0,False,1,car,1.0,33
0 days 00:00:04.391000,2019-05-26 13:12:50.372,10566.0,4,100.0,False,1,car,1.0,33
0 days 00:00:04.631000,2019-05-26 13:12:50.612,11062.0,4,100.0,False,1,car,1.0,33
0 days 00:00:04.871000,2019-05-26 13:12:50.852,11788.0,4,100.0,False,1,car,1.0,33
0 days 00:00:05.112000,2019-05-26 13:12:51.093,12196.0,4,100.0,False,1,car,1.0,33
0 days 00:00:05.351000,2019-05-26 13:12:51.332,11671.0,4,0.0,True,1,car,1.0,33
0 days 00:00:05.552000,2019-05-26 13:12:51.533,10554.0,4,0.0,True,1,car,1.0,33
0 days 00:00:05.791000,2019-05-26 13:12:51.772,10378.0,4,0.0,True,1,car,1.0,33
0 days 00:00:06.031000,2019-05-26 13:12:52.012,10163.0,3,0.0,True,1,car,1.0,33
0 days 00:00:06.271000,2019-05-26 13:12:52.252,11449.0,2,0.0,True,1,car,1.0,33
0 days 00:00:06.472000,2019-05-26 13:12:52.453,10908.0,2,0.0,True,1,car,1.0,33
0 days 00:00:06.712000,2019-05-26 13:12:52.693,10290.0,2,0.0,True,1,car,1.0,33
0 days 00:00:06.952000,2019-05-26 13:12:52.933,9131.0,2,0.0,True,1,car,1.0,33
0 days 00:00:07.192000,2019-05-26 13:12:53.173,8697.0,2,0.0,True,1,car,1.0,33
0 days 00:00:07.431000,2019-05-26 13:12:53.412,9397.0,1,0.0,True,1,car,1.0,33
0 days 00:00:07.671000,2019-05-26 13:12:53.652,8767.0,1,0.0,True,1,car,1.0,33
0 days 00:00:07.872000,2019-05-26 13:12:53.853,7965.0,1,0.0,True,1,car,1.0,33
0 days 00:00:08.112000,2019-05-26 13:12:54.093,7893.0,1,5.0,False,1,car,1.0,33
0 days 00:00:08.351000,2019-05-26 13:12:54.332,8130.0,1,3.0,False,1,car,1.0,33
0 days 00:00:08.591000,2019-05-26 13:12:54.572,8722.0,1,22.0,False,1,car,1.0,33
0 days 00:00:08.831000,2019-05-26 13:12:54.812,9458.0,1,27.0,False,1,car,1.0,33
0 days 00:00:09.071000,2019-05-26 13:12:55.052,9567.0,1,29.0,False,1,car,1.0,33
0 days 00:00:09.310000,2019-05-26 13:12:55.291,8726.0,2,50.0,False,1,car,1.0,33
0 days 00:00:09.511000,2019-05-26 13:12:55.492,9650.0,2,57.0,False,1,car,1.0,33
0 days 00:00:09.751000,2019-05-26 13:12:55.732,10713.0,2,67.0,False,1,car,1.0,33
0 days 00:00:09.991000,2019-05-26 13:12:55.972,12046.0,2,84.0,False,1,car,1.0,33
0 days 00:00:10.231000,2019-05-26 13:12:56.212,10926.0,3,100.0,False,1,car,1.0,33
0 days 00:00:10.432000,2019-05-26 13:12:56.413,11139.0,3,100.0,False,1,car,1.0,33
0 days 00:00:10.671000,2019-05-26 13:12:56.652,11312.0,3,100.0,False,1,car,1.0,33
0 days 00:00:10.911000,2019-05-26 13:12:56.892,11242.0,3,100.0,False,1,car,1.0,33
0 days 00:00:11.151000,2019-05-26 13:12:57.132,10433.0,4,100.0,False,1,car,1.0,33
0 days 00:00:11.391000,2019-05-26 13:12:57.372,11139.0,4,100.0,False,1,car,1.0,33
0 days 00:00:11.631000,2019-05-26 13:12:57.612,11416.0,4,100.0,False,1,car,1.0,33
0 days 00:00:11.832000,2019-05-26 13:12:57.813,10966.0,4,100.0,False,1,car,1.0,33
0 days 00:00:12.072000,2019-05-26 13:12:58.053,10514.0,5,100.0,False,1,car,1.0,33
0 days 00:00:12.311000,2019-05-26 13:12:58.292,10789.0,5,100.0,False,1,car,1.0,33
0 days 00:00:12.512000,2019-05-26 13:12:58.493,10972.0,5,100.0,False,1,car,1.0,33
0 days 00:00:12.751000,2019-05-26 13:12:58.732,11433.0,5,100.0,False,1,car,1.0,33
0 days 00:00:12.952000,2019-05-26 13:12:58.933,11679.0,5,100.0,False,1,car,1.0,33
0 days 00:00:13.192000,2019-05-26 13:12:59.173,10595.0,5,100.0,False,1,car,1.0,33
0 days 00:00:13.432000,2019-05-26 13:12:59.413,10568.0,6,100.0,False,1,car,1.0,33
0 days 00:00:13.671000,2019-05-26 13:12:59.652,10731.0,6,100.0,False,1,car,1.0,33
0 days 00:00:13.911000,2019-05-26 13:12:59.892,10905.0,6,100.0,False,1,car,1.0,33
0 days 00:00:14.112000,2019-05-26 13:13:00.093,11188.0,6,100.0,False,1,car,1.0,33
0 days 00:00:14.352000,2019-05-26 13:13:00.333,11291.0,6,100.0,False,1,car,1.0,33
0 days 00:00:14.632000,2019-05-26 13:13:00.613,11585.0,6,100.0,False,1,car,1.0,33
0 days 00:00:14.912000,2019-05-26 13:13:00.893,10862.0,6,100.0,False,1,car,1.0,33
0 days 00:00:15.151000,2019-05-26 13:13:01.132,10469.0,7,100.0,False,1,car,1.0,33
0 days 00:00:15.391000,2019-05-26 13:13:01.372,10579.0,7,100.0,False,1,car,1.0,33
0 days 00:00:15.631000,2019-05-26 13:13:01.612,10370.0,7,0.0,True,1,car,1.0,33
0 days 00:00:15.870000,2019-05-26 13:13:01.851,9928.0,7,0.0,True,1,car,1.0,33
0 days 00:00:16.071000,2019-05-26 13:13:02.052,10292.0,6,0.0,True,1,car,1.0,33
0 days 00:00:16.311000,2019-05-26 13:13:02.292,11173.0,5,0.0,True,1,car,1.0,33
0 days 00:00:16.551000,2019-05-26 13:13:02.532,10602.0,5,0.0,True,1,car,1.0,33
0 days 00:00:16.791000,2019-05-26 13:13:02.772,11235.0,5,0.0,True,1,car,1.0,33
0 days 00:00:17.031000,2019-05-26 13:13:03.012,11247.0,4,0.0,True,1,car,1.0,33
0 days 00:00:17.272000,2019-05-26 13:13:03.253,10580.0,4,0.0,True,1,car,1.0,33
0 days 00:00:17.512000,2019-05-26 13:13:03.493,10086.0,4,0.0,True,1,car,1.0,33
0 days 00:00:17.751000,2019-05-26 13:13:03.732,11346.0,4,0.0,True,1,car,1.0,33
0 days 00:00:18.031000,2019-05-26 13:13:04.012,10836.0,3,0.0,True,1,car,1.0,33
0 days 00:00:18.271000,2019-05-26 13:13:04.252,10393.0,3,0.0,True,1,car,1.0,33
0 days 00:00:18.551000,2019-05-26 13:13:04.532,10222.0,3,5.0,False,1,car,1.0,33
0 days 00:00:18.791000,2019-05-26 13:13:04.772,10238.0,3,10.0,False,1,car,1.0,33
0 days 00:00:19.031000,2019-05-26 13:13:05.012,10131.0,3,7.0,False,1,car,1.0,33
0 days 00:00:19.232000,2019-05-26 13:13:05.213,10098.0,3,4.0,False,1,car,1.0,33
0 days 00:00:19.472000,2019-05-26 13:13:05.453,10027.0,3,9.0,False,1,car,1.0,33
0 days 00:00:19.712000,2019-05-26 13:13:05.693,10034.0,3,12.0,False,1,car,1.0,33
0 days 00:00:19.951000,2019-05-26 13:13:05.932,10061.0,3,24.0,False,1,car,1.0,33
0 days 00:00:20.191000,2019-05-26 13:13:06.172,10329.0,3,35.0,False,1,car,1.0,33
0 days 00:00:20.431000,2019-05-26 13:13:06.412,10365.0,3,38.0,False,1,car,1.0,33
0 days 00:00:20.632000,2019-05-26 13:13:06.613,10632.0,3,44.0,False,1,car,1.0,33
0 days 00:00:20.872000,2019-05-26 13:13:06.853,10975.0,3,42.0,False,1,car,1.0,33
0 days 00:00:21.112000,2019-05-26 13:13:07.093,10677.0,3,30.0,False,1,car,1.0,33
0 days 00:00:21.352000,2019-05-26 13:13:07.333,10466.0,3,11.0,True,1,car,1.0,33
0 days 00:00:21.592000,2019-05-26 13:13:07.573,9856.0,3,0.0,True,1,car,1.0,33
0 days 00:00:21.831000,2019-05-26 13:13:07.812,9295.0,3,0.0,True,1,car,1.0,33
0 days 00:00:22.032000,2019-05-26 13:13:08.013,8904.0,3,0.0,True,1,car,1.0,33
0 days 00:00:22.271000,2019-05-26 13:13:08.252,8870.0,3,0.0,False,1,car,1.0,33
0 days 00:00:22.511000,2019-05-26 13:13:08.492,8658.0,3,7.0,False,1,car,1.0,33
0 days 00:00:22.751000,2019-05-26 13:13:08.732,8896.0,3,24.0,False,1,car,1.0,33
0 days 00:00:22.952000,2019-05-26 13:13:08.933,8835.0,3,29.0,False,1,car,1.0,33
0 days 00:00:23.191000,2019-05-26 13:13:09.172,9377.0,3,38.0,False,1,car,1.0,33
0 days 00:00:23.431000,2019-05-26 13:13:09.412,9605.0,3,51.0,False,1,car,1.0,33
0 days 00:00:23.671000,2019-05-26 13:13:09.652,10053.0,3,54.0,False,1,car,1.0,33
0 days 00:00:23.991000,2019-05-26 13:13:09.972,11025.0,3,64.0,False,1,car,1.0,33
0 days 00:00:24.231000,2019-05-26 13:13:10.212,11073.0,3,67.0,False,1,car,1.0,33
0 days 00:00:24.471000,2019-05-26 13:13:10.452,11045.0,3,73.0,False,1,car,1.0,33
0 days 00:00:24.711000,2019-05-26 13:13:10.692,10765.0,4,98.0,False,1,car,1.0,33
0 days 00:00:24.951000,2019-05-26 13:13:10.932,10440.0,4,98.0,False,1,car,1.0,33
0 days 00:00:25.152000,2019-05-26 13:13:11.133,10349.0,4,100.0,False,1,car,1.0,33
0 days 00:00:25.391000,2019-05-26 13:13:11.372,11049.0,4,100.0,False,1,car,1.0,33
0 days 00:00:25.631000,2019-05-26 13:13:11.612,9811.0,5,100.0,True,1,car,1.0,33
0 days 00:00:25.871000,2019-05-26 13:13:11.852,9638.0,5,0.0,True,1,car,1.0,33
0 days 00:00:26.112000,2019-05-26 13:13:12.093,10391.0,5,0.0,True,1,car,1.0,33
0 days 00:00:26.352000,2019-05-26 13:13:12.333,11173.0,5,0.0,True,1,car,1.0,33
0 days 00:00:26.592000,2019-05-26 13:13:12.573,10451.0,3,0.0,True,1,car,1.0,33
0 days 00:00:26.832000,2019-05-26 13:13:12.813,9741.0,3,0.0,True,1,car,1.0,33
0 days 00:00:27.072000,2019-05-26 13:13:13.053,10576.0,3,0.0,True,1,car,1.0,33
0 days 00:00:27.312000,2019-05-26 13:13:13.293,9779.0,2,0.0,True,1,car,1.0,33
0 days 00:00:27.551000,2019-05-26 13:13:13.532,8730.0,2,0.0,True,1,car,1.0,33
0 days 00:00:27.791000,2019-05-26 13:13:13.772,8164.0,2,0.0,True,1,car,1.0,33
0 days 00:00:27.992000,2019-05-26 13:13:13.973,7589.0,2,0.0,True,1,car,1.0,33
0 days 00:00:28.232000,2019-05-26 13:13:14.213,7188.0,2,0.0,False,1,car,1.0,33
