Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.169000,2018-05-27 13:12:47.518,10205.0,1,15.0,False,1,car,1.0,2
0 days 00:00:00.409000,2018-05-27 13:12:47.758,10226.0,1,15.0,False,1,car,1.0,2
0 days 00:00:00.610000,2018-05-27 13:12:47.959,8826.0,1,16.0,False,1,car,1.0,2
0 days 00:00:00.850000,2018-05-27 13:12:48.199,7146.0,1,16.0,False,1,car,1.0,2
0 days 00:00:01.090000,2018-05-27 13:12:48.439,5466.0,1,17.0,False,1,car,1.0,2
0 days 00:00:01.329000,2018-05-27 13:12:48.678,4504.0,1,23.0,False,1,car,1.0,2
0 days 00:00:01.569000,2018-05-27 13:12:48.918,5370.0,1,37.0,False,1,car,1.0,2
0 days 00:00:01.809000,2018-05-27 13:12:49.158,6189.0,1,39.0,False,1,car,1.0,2
0 days 00:00:02.010000,2018-05-27 13:12:49.359,7222.0,1,46.0,False,1,car,1.0,2
0 days 00:00:02.250000,2018-05-27 13:12:49.599,8525.0,1,51.0,False,1,car,1.0,2
0 days 00:00:02.490000,2018-05-27 13:12:49.839,10205.0,1,57.0,False,1,car,1.0,2
0 days 00:00:02.810000,2018-05-27 13:12:50.159,11700.0,1,69.0,False,1,car,1.0,2
0 days 00:00:03.050000,2018-05-27 13:12:50.399,10580.0,1,78.0,False,1,car,1.0,2
0 days 00:00:03.290000,2018-05-27 13:12:50.639,12260.0,2,82.0,False,1,car,1.0,2
0 days 00:00:03.529000,2018-05-27 13:12:50.878,11182.0,2,100.0,False,1,car,1.0,2
0 days 00:00:03.809000,2018-05-27 13:12:51.158,11311.0,3,100.0,False,1,car,1.0,2
0 days 00:00:04.049000,2018-05-27 13:12:51.398,11294.0,3,100.0,False,1,car,1.0,2
0 days 00:00:04.289000,2018-05-27 13:12:51.638,10574.0,4,100.0,False,1,car,1.0,2
0 days 00:00:04.529000,2018-05-27 13:12:51.878,11072.0,4,100.0,False,1,car,1.0,2
0 days 00:00:04.769000,2018-05-27 13:12:52.118,11702.0,4,100.0,False,1,car,1.0,2
0 days 00:00:05.009000,2018-05-27 13:12:52.358,10582.0,5,99.0,False,1,car,1.0,2
0 days 00:00:05.249000,2018-05-27 13:12:52.598,11064.0,5,99.0,False,1,car,1.0,2
0 days 00:00:05.489000,2018-05-27 13:12:52.838,11471.0,5,100.0,False,1,car,1.0,2
0 days 00:00:05.729000,2018-05-27 13:12:53.078,10847.0,5,1.0,True,1,car,1.0,2
0 days 00:00:05.969000,2018-05-27 13:12:53.318,11022.0,5,48.0,False,1,car,1.0,2
0 days 00:00:06.209000,2018-05-27 13:12:53.558,10299.0,5,0.0,True,1,car,1.0,2
0 days 00:00:06.449000,2018-05-27 13:12:53.798,9582.0,5,1.0,True,1,car,1.0,2
0 days 00:00:06.689000,2018-05-27 13:12:54.038,10691.0,4,0.0,True,1,car,1.0,2
0 days 00:00:06.929000,2018-05-27 13:12:54.278,10121.0,4,0.0,True,1,car,1.0,2
0 days 00:00:07.130000,2018-05-27 13:12:54.479,9456.0,4,1.0,True,1,car,1.0,2
0 days 00:00:07.369000,2018-05-27 13:12:54.718,10053.0,4,1.0,True,1,car,1.0,2
0 days 00:00:07.609000,2018-05-27 13:12:54.958,9353.0,3,1.0,True,1,car,1.0,2
0 days 00:00:07.849000,2018-05-27 13:12:55.198,8770.0,3,1.0,True,1,car,1.0,2
0 days 00:00:08.089000,2018-05-27 13:12:55.438,10055.0,2,1.0,True,1,car,1.0,2
0 days 00:00:08.329000,2018-05-27 13:12:55.678,9054.0,2,1.0,True,1,car,1.0,2
0 days 00:00:08.530000,2018-05-27 13:12:55.879,8584.0,2,1.0,True,1,car,1.0,2
0 days 00:00:08.770000,2018-05-27 13:12:56.119,8184.0,2,1.0,True,1,car,1.0,2
0 days 00:00:09.010000,2018-05-27 13:12:56.359,7638.0,2,0.0,False,1,car,1.0,2
0 days 00:00:09.249000,2018-05-27 13:12:56.598,7080.0,2,0.0,True,1,car,1.0,2
0 days 00:00:09.490000,2018-05-27 13:12:56.839,7032.0,2,4.0,False,1,car,1.0,2
0 days 00:00:09.729000,2018-05-27 13:12:57.078,6732.0,2,3.0,True,1,car,1.0,2
0 days 00:00:09.930000,2018-05-27 13:12:57.279,6612.0,2,0.0,False,1,car,1.0,2
0 days 00:00:10.170000,2018-05-27 13:12:57.519,6612.0,2,0.0,False,1,car,1.0,2
0 days 00:00:10.410000,2018-05-27 13:12:57.759,6887.0,2,26.0,False,1,car,1.0,2
0 days 00:00:10.649000,2018-05-27 13:12:57.998,7270.0,2,29.0,False,1,car,1.0,2
0 days 00:00:10.889000,2018-05-27 13:12:58.238,7301.0,2,21.0,False,1,car,1.0,2
0 days 00:00:11.128000,2018-05-27 13:12:58.477,7362.0,2,10.0,True,1,car,1.0,2
0 days 00:00:11.329000,2018-05-27 13:12:58.678,8372.0,2,50.0,False,1,car,1.0,2
0 days 00:00:11.569000,2018-05-27 13:12:58.918,9277.0,2,48.0,False,1,car,1.0,2
0 days 00:00:11.809000,2018-05-27 13:12:59.158,10957.0,2,76.0,False,1,car,1.0,2
0 days 00:00:12.049000,2018-05-27 13:12:59.398,11726.0,2,81.0,False,1,car,1.0,2
0 days 00:00:12.289000,2018-05-27 13:12:59.638,11890.0,2,100.0,False,1,car,1.0,2
0 days 00:00:12.529000,2018-05-27 13:12:59.878,11160.0,2,98.0,False,1,car,1.0,2
0 days 00:00:12.769000,2018-05-27 13:13:00.118,11947.0,3,98.0,False,1,car,1.0,2
0 days 00:00:13.009000,2018-05-27 13:13:00.358,11741.0,3,98.0,False,1,car,1.0,2
0 days 00:00:13.249000,2018-05-27 13:13:00.598,11087.0,3,98.0,False,1,car,1.0,2
0 days 00:00:13.489000,2018-05-27 13:13:00.838,11049.0,4,99.0,False,1,car,1.0,2
0 days 00:00:13.729000,2018-05-27 13:13:01.078,11078.0,4,99.0,False,1,car,1.0,2
0 days 00:00:13.930000,2018-05-27 13:13:01.279,11843.0,4,99.0,False,1,car,1.0,2
0 days 00:00:14.169000,2018-05-27 13:13:01.518,11388.0,4,99.0,False,1,car,1.0,2
0 days 00:00:14.450000,2018-05-27 13:13:01.799,11041.0,5,99.0,False,1,car,1.0,2
0 days 00:00:14.690000,2018-05-27 13:13:02.039,11332.0,5,99.0,False,1,car,1.0,2
0 days 00:00:14.929000,2018-05-27 13:13:02.278,11847.0,5,99.0,False,1,car,1.0,2
0 days 00:00:15.169000,2018-05-27 13:13:02.518,11358.0,5,99.0,False,1,car,1.0,2
0 days 00:00:15.370000,2018-05-27 13:13:02.719,10668.0,6,99.0,False,1,car,1.0,2
0 days 00:00:15.610000,2018-05-27 13:13:02.959,10940.0,6,99.0,False,1,car,1.0,2
0 days 00:00:15.850000,2018-05-27 13:13:03.199,11184.0,6,99.0,False,1,car,1.0,2
0 days 00:00:16.090000,2018-05-27 13:13:03.439,11375.0,6,99.0,False,1,car,1.0,2
0 days 00:00:16.330000,2018-05-27 13:13:03.679,11289.0,6,67.0,True,1,car,1.0,2
0 days 00:00:16.570000,2018-05-27 13:13:03.919,11085.0,6,53.0,False,1,car,1.0,2
0 days 00:00:16.809000,2018-05-27 13:13:04.158,10755.0,6,9.0,False,1,car,1.0,2
0 days 00:00:17.010000,2018-05-27 13:13:04.359,10833.0,6,20.0,False,1,car,1.0,2
0 days 00:00:17.250000,2018-05-27 13:13:04.599,10481.0,6,48.0,False,1,car,1.0,2
0 days 00:00:17.490000,2018-05-27 13:13:04.839,10551.0,6,69.0,False,1,car,1.0,2
0 days 00:00:17.729000,2018-05-27 13:13:05.078,10594.0,6,60.0,True,1,car,1.0,2
0 days 00:00:17.969000,2018-05-27 13:13:05.318,10192.0,6,3.0,True,1,car,1.0,2
0 days 00:00:18.209000,2018-05-27 13:13:05.558,9961.0,6,45.0,False,1,car,1.0,2
0 days 00:00:18.449000,2018-05-27 13:13:05.798,10069.0,6,70.0,False,1,car,1.0,2
0 days 00:00:18.689000,2018-05-27 13:13:06.038,9652.0,6,3.0,True,1,car,1.0,2
0 days 00:00:18.929000,2018-05-27 13:13:06.278,10543.0,6,2.0,True,1,car,1.0,2
0 days 00:00:19.169000,2018-05-27 13:13:06.518,9716.0,5,3.0,True,1,car,1.0,2
0 days 00:00:19.409000,2018-05-27 13:13:06.758,9221.0,5,3.0,True,1,car,1.0,2
0 days 00:00:19.649000,2018-05-27 13:13:06.998,9781.0,4,3.0,True,1,car,1.0,2
0 days 00:00:19.889000,2018-05-27 13:13:07.238,9552.0,4,3.0,True,1,car,1.0,2
0 days 00:00:20.129000,2018-05-27 13:13:07.478,9369.0,4,9.0,True,1,car,1.0,2
0 days 00:00:20.409000,2018-05-27 13:13:07.758,9003.0,4,2.0,True,1,car,1.0,2
0 days 00:00:20.649000,2018-05-27 13:13:07.998,8668.0,4,6.0,True,1,car,1.0,2
0 days 00:00:20.889000,2018-05-27 13:13:08.238,8971.0,4,0.0,True,1,car,1.0,2
0 days 00:00:21.129000,2018-05-27 13:13:08.478,8366.0,4,3.0,False,1,car,1.0,2
0 days 00:00:21.330000,2018-05-27 13:13:08.679,8038.0,4,1.0,True,1,car,1.0,2
0 days 00:00:21.570000,2018-05-27 13:13:08.919,8144.0,4,12.0,False,1,car,1.0,2
0 days 00:00:21.810000,2018-05-27 13:13:09.159,9053.0,3,17.0,True,1,car,1.0,2
0 days 00:00:22.050000,2018-05-27 13:13:09.399,8911.0,3,4.0,True,1,car,1.0,2
0 days 00:00:22.290000,2018-05-27 13:13:09.639,8342.0,3,15.0,False,1,car,1.0,2
0 days 00:00:22.529000,2018-05-27 13:13:09.878,8744.0,3,20.0,False,1,car,1.0,2
0 days 00:00:22.730000,2018-05-27 13:13:10.079,8641.0,3,30.0,False,1,car,1.0,2
0 days 00:00:22.970000,2018-05-27 13:13:10.319,8929.0,3,42.0,False,1,car,1.0,2
0 days 00:00:23.210000,2018-05-27 13:13:10.559,9270.0,3,53.0,False,1,car,1.0,2
0 days 00:00:23.450000,2018-05-27 13:13:10.799,9395.0,3,25.0,True,1,car,1.0,2
0 days 00:00:23.690000,2018-05-27 13:13:11.039,9252.0,3,22.0,False,1,car,1.0,2
0 days 00:00:23.930000,2018-05-27 13:13:11.279,8894.0,3,5.0,True,1,car,1.0,2
0 days 00:00:24.170000,2018-05-27 13:13:11.519,9379.0,3,32.0,False,1,car,1.0,2
0 days 00:00:24.410000,2018-05-27 13:13:11.759,9417.0,3,35.0,False,1,car,1.0,2
0 days 00:00:24.649000,2018-05-27 13:13:11.998,9529.0,3,26.0,False,1,car,1.0,2
0 days 00:00:24.929000,2018-05-27 13:13:12.278,9225.0,3,4.0,True,1,car,1.0,2
0 days 00:00:25.169000,2018-05-27 13:13:12.518,8049.0,3,0.0,True,1,car,1.0,2
0 days 00:00:25.409000,2018-05-27 13:13:12.758,7780.0,3,0.0,True,1,car,1.0,2
0 days 00:00:25.649000,2018-05-27 13:13:12.998,7614.0,3,3.0,False,1,car,1.0,2
0 days 00:00:25.889000,2018-05-27 13:13:13.238,7782.0,3,19.0,False,1,car,1.0,2
0 days 00:00:26.129000,2018-05-27 13:13:13.478,7846.0,3,21.0,False,1,car,1.0,2
0 days 00:00:26.409000,2018-05-27 13:13:13.758,7730.0,3,10.0,True,1,car,1.0,2
0 days 00:00:26.649000,2018-05-27 13:13:13.998,7707.0,3,25.0,False,1,car,1.0,2
0 days 00:00:26.889000,2018-05-27 13:13:14.238,7834.0,3,22.0,False,1,car,1.0,2
0 days 00:00:27.129000,2018-05-27 13:13:14.478,8396.0,3,48.0,False,1,car,1.0,2
0 days 00:00:27.369000,2018-05-27 13:13:14.718,8713.0,3,47.0,False,1,car,1.0,2
0 days 00:00:27.570000,2018-05-27 13:13:14.919,9064.0,3,62.0,False,1,car,1.0,2
0 days 00:00:27.810000,2018-05-27 13:13:15.159,10462.0,3,67.0,False,1,car,1.0,2
0 days 00:00:28.049000,2018-05-27 13:13:15.398,10854.0,3,64.0,False,1,car,1.0,2
0 days 00:00:28.290000,2018-05-27 13:13:15.639,11233.0,3,72.0,False,1,car,1.0,2
0 days 00:00:28.529000,2018-05-27 13:13:15.878,11516.0,3,84.0,False,1,car,1.0,2
0 days 00:00:28.769000,2018-05-27 13:13:16.118,10956.0,3,100.0,False,1,car,1.0,2
0 days 00:00:28.970000,2018-05-27 13:13:16.319,11101.0,4,99.0,False,1,car,1.0,2
0 days 00:00:29.210000,2018-05-27 13:13:16.559,11588.0,4,99.0,False,1,car,1.0,2
0 days 00:00:29.450000,2018-05-27 13:13:16.799,10956.0,4,99.0,False,1,car,1.0,2
0 days 00:00:29.690000,2018-05-27 13:13:17.039,10044.0,5,0.0,True,1,car,1.0,2
0 days 00:00:29.930000,2018-05-27 13:13:17.279,9763.0,5,0.0,True,1,car,1.0,2
0 days 00:00:30.170000,2018-05-27 13:13:17.519,10197.0,4,0.0,True,1,car,1.0,2
0 days 00:00:30.410000,2018-05-27 13:13:17.759,9533.0,4,0.0,True,1,car,1.0,2
0 days 00:00:30.650000,2018-05-27 13:13:17.999,9578.0,4,0.0,True,1,car,1.0,2
0 days 00:00:30.930000,2018-05-27 13:13:18.279,9145.0,3,0.0,True,1,car,1.0,2
0 days 00:00:31.170000,2018-05-27 13:13:18.519,8719.0,3,0.0,True,1,car,1.0,2
0 days 00:00:31.410000,2018-05-27 13:13:18.759,10227.0,2,0.0,False,1,car,1.0,2
0 days 00:00:31.649000,2018-05-27 13:13:18.998,9785.0,2,0.0,True,1,car,1.0,2
0 days 00:00:31.889000,2018-05-27 13:13:19.238,8213.0,2,0.0,True,1,car,1.0,2
0 days 00:00:32.129000,2018-05-27 13:13:19.478,8175.0,2,0.0,True,1,car,1.0,2
0 days 00:00:32.369000,2018-05-27 13:13:19.718,8209.0,1,0.0,True,1,car,1.0,2
0 days 00:00:32.609000,2018-05-27 13:13:19.958,7825.0,1,0.0,True,1,car,1.0,2
0 days 00:00:32.889000,2018-05-27 13:13:20.238,7444.0,1,0.0,False,1,car,1.0,2
0 days 00:00:33.129000,2018-05-27 13:13:20.478,7055.0,1,0.0,False,1,car,1.0,2
0 days 00:00:33.369000,2018-05-27 13:13:20.718,7271.0,1,3.0,False,1,car,1.0,2
0 days 00:00:33.609000,2018-05-27 13:13:20.958,7846.0,1,18.0,False,1,car,1.0,2
0 days 00:00:33.810000,2018-05-27 13:13:21.159,8037.0,1,17.0,False,1,car,1.0,2
0 days 00:00:34.050000,2018-05-27 13:13:21.399,8817.0,1,27.0,False,1,car,1.0,2
0 days 00:00:34.290000,2018-05-27 13:13:21.639,9112.0,1,31.0,False,1,car,1.0,2
0 days 00:00:34.530000,2018-05-27 13:13:21.879,9576.0,1,29.0,False,1,car,1.0,2
0 days 00:00:34.769000,2018-05-27 13:13:22.118,9313.0,1,25.0,False,3,car,1.0,2
0 days 00:00:34.970000,2018-05-27 13:13:22.319,7950.0,1,35.0,False,3,car,1.0,2
0 days 00:00:35.210000,2018-05-27 13:13:22.559,8212.0,2,44.0,False,1,car,1.0,2
0 days 00:00:35.450000,2018-05-27 13:13:22.799,8704.0,2,46.0,False,1,car,1.0,2
0 days 00:00:35.690000,2018-05-27 13:13:23.039,9109.0,2,47.0,False,1,car,1.0,2
0 days 00:00:35.930000,2018-05-27 13:13:23.279,9765.0,2,47.0,False,1,car,1.0,2
0 days 00:00:36.170000,2018-05-27 13:13:23.519,10304.0,2,47.0,False,1,car,1.0,2
0 days 00:00:36.409000,2018-05-27 13:13:23.758,8724.0,2,0.0,True,1,car,1.0,2
0 days 00:00:36.610000,2018-05-27 13:13:23.959,9067.0,2,10.0,False,1,car,1.0,2
0 days 00:00:36.850000,2018-05-27 13:13:24.199,9090.0,2,32.0,True,1,car,1.0,2
0 days 00:00:37.090000,2018-05-27 13:13:24.439,8970.0,2,0.0,True,1,car,1.0,2
0 days 00:00:37.330000,2018-05-27 13:13:24.679,9658.0,1,0.0,True,1,car,1.0,2
0 days 00:00:37.570000,2018-05-27 13:13:24.919,8248.0,1,0.0,True,1,car,1.0,2
0 days 00:00:37.810000,2018-05-27 13:13:25.159,7462.0,1,0.0,True,1,car,1.0,2
0 days 00:00:38.050000,2018-05-27 13:13:25.399,7334.0,1,1.0,True,1,car,1.0,2
0 days 00:00:38.290000,2018-05-27 13:13:25.639,7080.0,1,1.0,False,1,car,1.0,2
0 days 00:00:38.570000,2018-05-27 13:13:25.919,6815.0,1,0.0,False,1,car,1.0,2
0 days 00:00:38.809000,2018-05-27 13:13:26.158,6530.0,1,0.0,True,1,car,1.0,2
0 days 00:00:39.049000,2018-05-27 13:13:26.398,6226.0,1,0.0,False,1,car,1.0,2
0 days 00:00:39.289000,2018-05-27 13:13:26.638,6048.0,1,3.0,False,1,car,1.0,2
0 days 00:00:39.490000,2018-05-27 13:13:26.839,5939.0,1,4.0,False,1,car,1.0,2
0 days 00:00:39.729000,2018-05-27 13:13:27.078,6271.0,1,9.0,False,1,car,1.0,2
0 days 00:00:39.969000,2018-05-27 13:13:27.318,6021.0,1,0.0,True,1,car,1.0,2
0 days 00:00:40.209000,2018-05-27 13:13:27.558,6294.0,1,6.0,False,1,car,1.0,2
0 days 00:00:40.449000,2018-05-27 13:13:27.798,5384.0,1,0.0,True,1,car,1.0,2
0 days 00:00:40.650000,2018-05-27 13:13:27.999,5253.0,1,0.0,False,1,car,1.0,2
0 days 00:00:40.890000,2018-05-27 13:13:28.239,5253.0,1,0.0,False,1,car,1.0,2
0 days 00:00:41.130000,2018-05-27 13:13:28.479,5146.0,1,4.0,False,1,car,1.0,2
0 days 00:00:41.370000,2018-05-27 13:13:28.719,6290.0,1,11.0,False,1,car,1.0,2
0 days 00:00:41.609000,2018-05-27 13:13:28.958,6606.0,1,7.0,False,1,car,1.0,2
0 days 00:00:41.849000,2018-05-27 13:13:29.198,6865.0,1,16.0,False,1,car,1.0,2
0 days 00:00:42.050000,2018-05-27 13:13:29.399,7613.0,1,21.0,False,1,car,1.0,2
0 days 00:00:42.330000,2018-05-27 13:13:29.679,8622.0,1,37.0,False,1,car,1.0,2
0 days 00:00:42.570000,2018-05-27 13:13:29.919,9559.0,1,46.0,False,1,car,1.0,2
0 days 00:00:42.810000,2018-05-27 13:13:30.159,10638.0,1,52.0,False,1,car,1.0,2
0 days 00:00:43.050000,2018-05-27 13:13:30.399,8958.0,1,3.0,False,1,car,1.0,2
0 days 00:00:43.290000,2018-05-27 13:13:30.639,7776.0,2,0.0,True,1,car,1.0,2
0 days 00:00:43.530000,2018-05-27 13:13:30.879,6894.0,2,0.0,True,1,car,1.0,2
0 days 00:00:43.770000,2018-05-27 13:13:31.119,6758.0,2,0.0,False,1,car,1.0,2
0 days 00:00:44.010000,2018-05-27 13:13:31.359,6643.0,2,0.0,False,1,car,1.0,2
0 days 00:00:44.250000,2018-05-27 13:13:31.599,6438.0,2,0.0,False,1,car,1.0,2
0 days 00:00:44.570000,2018-05-27 13:13:31.919,6384.0,2,1.0,False,1,car,1.0,2
0 days 00:00:44.810000,2018-05-27 13:13:32.159,6742.0,2,14.0,False,1,car,1.0,2
0 days 00:00:45.050000,2018-05-27 13:13:32.399,6972.0,2,19.0,False,1,car,1.0,2
0 days 00:00:45.290000,2018-05-27 13:13:32.639,7723.0,2,34.0,False,1,car,1.0,2
0 days 00:00:45.530000,2018-05-27 13:13:32.879,7827.0,2,48.0,False,1,car,1.0,2
0 days 00:00:45.769000,2018-05-27 13:13:33.118,8207.0,2,52.0,False,1,car,1.0,2
