LapNumber,TrackTemp,RPM,nGear,Throttle,Brake,DRS,LapTime,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Weight,PitDuration
1.0,33.75,9262.982195845698,3.112759643916914,43.36201780415431,108,0,91.614,0,,,1,2,837.7454011884736,
2.0,33.9,9519.690690690692,3.3993993993994,45.61561561561562,99,0,80.619,1,1.0,6.0,0,21,836.4233922679273,
3.0,33.9,9390.649700598802,3.592814371257485,47.08083832335329,93,7,79.812,1,1.0,7.0,0,1,835.1013833473811,
4.0,33.9,9424.744744744745,3.561561561561561,47.61861861861862,89,21,79.562,1,1.0,8.0,0,1,833.7793744268348,
5.0,33.6,9439.534743202415,3.607250755287009,48.0392749244713,85,24,79.4,1,1.0,9.0,0,1,832.4573655062885,
6.0,34.5,9445.523952095808,3.622754491017964,47.46706586826348,92,23,79.489,0,1.0,10.0,0,1,831.1353565857422,
7.0,33.9,9388.111445783132,3.5993975903614457,46.59939759036145,92,19,79.766,0,1.0,11.0,0,1,829.8133476651959,
8.0,33.8,9364.7078313253,3.644578313253012,48.066265060240966,89,20,79.497,0,1.0,12.0,0,1,828.4913387446496,
9.0,33.8,9413.596385542169,3.626506024096385,49.1566265060241,87,17,79.346,1,1.0,13.0,0,1,827.1693298241033,
10.0,33.8,9503.123123123123,3.5975975975975976,49.648648648648646,89,0,79.193,1,1.0,14.0,0,1,825.8473209035571,
11.0,33.7,9539.115151515152,3.503030303030303,46.97575757575758,91,0,79.714,0,1.0,15.0,0,1,824.5253119830109,
12.0,33.9,9462.578787878789,3.609090909090909,48.28787878787879,89,0,79.118,1,1.0,16.0,0,1,823.2033030624646,
13.0,34.0,9519.814925373134,3.570149253731344,49.29253731343284,89,0,79.238,0,1.0,17.0,0,12,821.8812941419183,
14.0,33.7,9532.33734939759,3.533132530120482,48.56927710843374,86,0,79.738,0,1.0,18.0,0,1,820.559285221372,
15.0,33.85,9464.494047619048,3.5922619047619047,47.25892857142857,91,0,79.937,0,1.0,19.0,0,1,819.2372763008257,
16.0,34.1,9489.181268882176,3.4501510574018126,45.92447129909365,89,0,80.471,0,1.0,20.0,0,1,817.9152673802794,
17.0,33.8,9443.192771084336,3.569277108433735,47.3855421686747,88,0,79.54,0,1.0,21.0,0,1,816.5932584597331,
18.0,34.2,9591.74320241692,3.5347432024169185,48.88821752265861,86,0,79.029,1,1.0,22.0,0,1,815.2712495391868,
19.0,34.0,9450.30513595166,3.607250755287009,48.37764350453172,86,0,79.145,0,1.0,23.0,0,1,813.9492406186405,
20.0,33.8,9465.81626506024,3.605421686746988,48.9277108433735,82,0,79.182,0,1.0,24.0,0,1,812.6272316980943,
21.0,33.95,9409.00909090909,3.609090909090909,48.73636363636364,91,0,79.247,0,1.0,25.0,0,1,811.305222777548,
22.0,34.1,9538.766871165644,3.610429447852761,50.12883435582822,82,0,78.824,1,1.0,26.0,0,1,809.9832138570017,
23.0,34.3,9554.325227963524,3.635258358662614,50.85714285714285,78,0,78.431,1,1.0,27.0,0,1,808.6612049364554,
24.0,34.45,9563.188449848025,3.623100303951368,51.35866261398176,81,0,78.57,0,1.0,28.0,0,1,807.3391960159091,
25.0,33.8,9658.70642201835,3.574923547400612,50.308868501529055,80,0,78.701,0,1.0,29.0,0,1,806.0171870953628,
26.0,33.8,9559.40303030303,3.636363636363636,51.29090909090909,82,0,78.405,1,1.0,30.0,0,1,804.6951781748165,
27.0,33.75,9509.131097560976,3.6280487804878048,49.26219512195122,79,0,78.912,0,1.0,31.0,0,1,803.3731692542704,
28.0,34.2,9550.822085889571,3.644171779141104,49.95705521472393,88,0,78.235,1,1.0,32.0,0,1,802.051160333724,
29.0,34.4,9541.4250764526,3.63302752293578,50.68807339449541,77,0,78.09,1,1.0,33.0,0,1,800.7291514131778,
30.0,34.4,9529.548780487805,3.658536585365854,50.1280487804878,78,0,78.302,0,1.0,34.0,0,1,799.4071424926315,
31.0,34.35,9553.262195121952,3.6219512195121952,50.90853658536585,80,0,78.263,0,1.0,35.0,0,1,798.0851335720852,
32.0,34.2,9508.407975460124,3.607361963190184,49.1840490797546,81,0,78.63,0,1.0,36.0,0,1,796.7631246515389,
33.0,35.0,9545.395136778116,3.635258358662614,50.878419452887535,84,0,78.275,0,1.0,37.0,0,1,795.4411157309926,
34.0,35.05,9519.173252279636,3.620060790273557,50.01823708206687,80,0,78.69,0,1.0,38.0,0,1,794.1191068104463,
35.0,34.9,9582.521212121212,3.5727272727272728,50.06969696969697,86,0,78.59,0,1.0,39.0,0,1,792.7970978899,
36.0,35.2,9568.138957816378,3.8784119106699753,52.59057071960298,103,0,79.048,0,1.0,40.0,0,1,791.4750889693538,
37.0,35.3,8662.804733727811,2.532544378698225,46.29585798816568,93,0,96.516,0,1.0,41.0,0,1,790.1530800488075,24.188
38.0,35.1,9765.966463414634,3.1036585365853657,48.33841463414634,97,0,80.582,0,3.0,1.0,1,1,788.8310711282612,
39.0,35.8,9696.51226993865,3.5061349693251533,48.50920245398773,92,0,78.239,0,3.0,2.0,1,1,787.5090622077149,
40.0,36.15,9606.130303030302,3.590909090909091,49.73939393939394,90,0,77.85,1,3.0,3.0,1,1,786.1870532871686,
41.0,36.4,9485.430303030304,3.551515151515152,47.26969696969697,93,4,79.021,0,3.0,4.0,1,1,784.8650443666223,
42.0,36.6,9492.74320241692,3.5709969788519635,47.50453172205438,99,21,78.996,0,3.0,5.0,1,1,783.543035446076,
43.0,36.8,9500.752265861029,3.516616314199396,46.477341389728096,94,15,79.318,0,3.0,6.0,1,1,782.2210265255297,
44.0,37.0,9538.951367781156,3.601823708206687,47.52887537993921,90,0,78.772,0,3.0,7.0,1,1,780.8990176049836,
45.0,36.3,9534.431610942249,3.580547112462006,48.17629179331307,91,0,78.73,0,3.0,8.0,1,1,779.5770086844373,
46.0,36.55,9502.156626506025,3.614457831325301,48.59638554216868,92,0,78.705,0,3.0,9.0,1,1,778.254999763891,
47.0,36.6,9420.565217391304,3.6024844720496896,46.47204968944099,92,0,79.13,0,3.0,10.0,1,1,776.9329908433447,
48.0,36.6,9746.012232415902,3.6085626911314974,51.28746177370031,90,0,77.276,1,3.0,11.0,1,1,775.6109819227984,
49.0,36.5,9625.706948640483,3.6132930513595167,51.41691842900302,88,0,77.694,0,3.0,12.0,1,1,774.2889730022521,
50.0,36.7,9522.404129793513,3.613569321533924,50.04719764011799,87,14,79.016,0,3.0,13.0,1,1,772.9669640817058,
51.0,36.3,9284.306306306304,3.4564564564564564,43.030030030030034,102,14,81.447,0,3.0,14.0,1,1,771.6449551611595,
52.0,36.1,9446.208588957055,3.5460122699386503,46.13803680981595,94,16,79.452,0,3.0,15.0,1,1,770.3229462406132,
53.0,35.9,9616.43827160494,3.611111111111111,50.867283950617285,84,0,77.758,0,3.0,16.0,1,12,769.000937320067,
54.0,35.6,9596.706790123457,3.608024691358025,48.74382716049383,86,0,77.796,0,3.0,17.0,1,21,767.6789283995207,
55.0,35.2,9634.20807453416,3.624223602484472,50.0527950310559,82,0,77.435,0,3.0,18.0,1,1,766.3569194789744,
56.0,34.6,9653.766355140187,3.632398753894081,51.218068535825545,81,0,77.278,0,3.0,19.0,1,1,765.0349105584281,
57.0,34.6,9634.588235294115,3.6625386996904026,50.55727554179567,79,0,77.311,0,3.0,20.0,1,1,763.7129016378818,
58.0,34.7,9626.342592592591,3.635802469135802,50.3425925925926,82,0,77.599,0,3.0,21.0,1,1,762.3908927173355,
59.0,34.8,9660.546296296296,3.626543209876543,50.098765432098766,85,0,77.254,1,3.0,22.0,1,1,761.0688837967892,
