Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.169000,2018-05-27 13:12:47.518,11209.0,1,41.0,True,1,car,1.0,9
0 days 00:00:00.409000,2018-05-27 13:12:47.758,10703.0,1,41.0,False,1,car,1.0,9
0 days 00:00:00.610000,2018-05-27 13:12:47.959,9303.0,1,39.0,False,1,car,1.0,9
0 days 00:00:00.850000,2018-05-27 13:12:48.199,7623.0,1,39.0,False,1,car,1.0,9
0 days 00:00:01.090000,2018-05-27 13:12:48.439,5943.0,1,39.0,False,1,car,1.0,9
0 days 00:00:01.329000,2018-05-27 13:12:48.678,4912.0,1,39.0,False,1,car,1.0,9
0 days 00:00:01.569000,2018-05-27 13:12:48.918,5453.0,1,42.0,False,1,car,1.0,9
0 days 00:00:01.809000,2018-05-27 13:12:49.158,6876.0,1,48.0,False,1,car,1.0,9
0 days 00:00:02.010000,2018-05-27 13:12:49.359,7244.0,1,51.0,False,1,car,1.0,9
0 days 00:00:02.250000,2018-05-27 13:12:49.599,8471.0,1,59.0,False,1,car,1.0,9
0 days 00:00:02.490000,2018-05-27 13:12:49.839,10143.0,1,67.0,False,1,car,1.0,9
0 days 00:00:02.810000,2018-05-27 13:12:50.159,11650.0,1,76.0,False,1,car,1.0,9
0 days 00:00:03.050000,2018-05-27 13:12:50.399,10255.0,2,81.0,False,1,car,1.0,9
0 days 00:00:03.290000,2018-05-27 13:12:50.639,11375.0,2,86.0,False,1,car,1.0,9
0 days 00:00:03.529000,2018-05-27 13:12:50.878,11087.0,2,88.0,False,1,car,1.0,9
0 days 00:00:03.809000,2018-05-27 13:12:51.158,11498.0,3,98.0,False,1,car,1.0,9
0 days 00:00:04.049000,2018-05-27 13:12:51.398,11724.0,3,100.0,False,1,car,1.0,9
0 days 00:00:04.289000,2018-05-27 13:12:51.638,10564.0,4,100.0,False,1,car,1.0,9
0 days 00:00:04.529000,2018-05-27 13:12:51.878,11045.0,4,100.0,False,1,car,1.0,9
0 days 00:00:04.769000,2018-05-27 13:12:52.118,11676.0,4,100.0,False,1,car,1.0,9
0 days 00:00:05.009000,2018-05-27 13:12:52.358,10570.0,4,100.0,False,1,car,1.0,9
0 days 00:00:05.249000,2018-05-27 13:12:52.598,10478.0,5,91.0,False,1,car,1.0,9
0 days 00:00:05.489000,2018-05-27 13:12:52.838,11030.0,5,82.0,False,1,car,1.0,9
0 days 00:00:05.729000,2018-05-27 13:12:53.078,10829.0,5,0.0,False,1,car,1.0,9
0 days 00:00:05.969000,2018-05-27 13:12:53.318,10201.0,5,0.0,True,1,car,1.0,9
0 days 00:00:06.209000,2018-05-27 13:12:53.558,10438.0,5,0.0,False,1,car,1.0,9
0 days 00:00:06.449000,2018-05-27 13:12:53.798,9926.0,5,0.0,True,1,car,1.0,9
0 days 00:00:06.689000,2018-05-27 13:12:54.038,9464.0,5,0.0,True,1,car,1.0,9
0 days 00:00:06.929000,2018-05-27 13:12:54.278,9050.0,5,0.0,True,1,car,1.0,9
0 days 00:00:07.130000,2018-05-27 13:12:54.479,9639.0,5,0.0,True,1,car,1.0,9
0 days 00:00:07.369000,2018-05-27 13:12:54.718,9678.0,4,0.0,True,1,car,1.0,9
0 days 00:00:07.609000,2018-05-27 13:12:54.958,8995.0,4,0.0,True,1,car,1.0,9
0 days 00:00:07.849000,2018-05-27 13:12:55.198,8926.0,4,0.0,True,1,car,1.0,9
0 days 00:00:08.089000,2018-05-27 13:12:55.438,9406.0,4,0.0,True,1,car,1.0,9
0 days 00:00:08.329000,2018-05-27 13:12:55.678,8709.0,3,0.0,True,1,car,1.0,9
0 days 00:00:08.530000,2018-05-27 13:12:55.879,8114.0,3,0.0,True,1,car,1.0,9
0 days 00:00:08.770000,2018-05-27 13:12:56.119,8248.0,2,0.0,True,1,car,1.0,9
0 days 00:00:09.010000,2018-05-27 13:12:56.359,7329.0,2,0.0,True,1,car,1.0,9
0 days 00:00:09.249000,2018-05-27 13:12:56.598,8445.0,1,0.0,True,1,car,1.0,9
0 days 00:00:09.490000,2018-05-27 13:12:56.839,7528.0,1,0.0,True,1,car,1.0,9
0 days 00:00:09.729000,2018-05-27 13:12:57.078,7332.0,1,0.0,False,1,car,1.0,9
0 days 00:00:09.930000,2018-05-27 13:12:57.279,7162.0,1,8.0,False,1,car,1.0,9
0 days 00:00:10.170000,2018-05-27 13:12:57.519,7236.0,1,14.0,False,1,car,1.0,9
0 days 00:00:10.410000,2018-05-27 13:12:57.759,7549.0,1,22.0,False,1,car,1.0,9
0 days 00:00:10.649000,2018-05-27 13:12:57.998,7499.0,1,15.0,False,1,car,1.0,9
0 days 00:00:10.889000,2018-05-27 13:12:58.238,7163.0,1,3.0,False,1,car,1.0,9
0 days 00:00:11.128000,2018-05-27 13:12:58.477,7471.0,1,23.0,False,1,car,1.0,9
0 days 00:00:11.329000,2018-05-27 13:12:58.678,7936.0,1,28.0,False,1,car,1.0,9
0 days 00:00:11.569000,2018-05-27 13:12:58.918,8574.0,1,40.0,False,1,car,1.0,9
0 days 00:00:11.809000,2018-05-27 13:12:59.158,8912.0,1,45.0,False,1,car,1.0,9
0 days 00:00:12.049000,2018-05-27 13:12:59.398,9889.0,1,59.0,False,1,car,1.0,9
0 days 00:00:12.289000,2018-05-27 13:12:59.638,10712.0,1,65.0,False,1,car,1.0,9
0 days 00:00:12.529000,2018-05-27 13:12:59.878,11024.0,1,75.0,False,1,car,1.0,9
0 days 00:00:12.769000,2018-05-27 13:13:00.118,9882.0,2,61.0,False,1,car,1.0,9
0 days 00:00:13.009000,2018-05-27 13:13:00.358,10267.0,2,69.0,False,1,car,1.0,9
0 days 00:00:13.249000,2018-05-27 13:13:00.598,11747.0,2,85.0,False,1,car,1.0,9
0 days 00:00:13.489000,2018-05-27 13:13:00.838,12171.0,2,93.0,False,1,car,1.0,9
0 days 00:00:13.729000,2018-05-27 13:13:01.078,11430.0,3,89.0,False,1,car,1.0,9
0 days 00:00:13.930000,2018-05-27 13:13:01.279,12229.0,3,100.0,False,1,car,1.0,9
0 days 00:00:14.169000,2018-05-27 13:13:01.518,10751.0,4,100.0,False,1,car,1.0,9
0 days 00:00:14.450000,2018-05-27 13:13:01.799,11116.0,4,100.0,False,1,car,1.0,9
0 days 00:00:14.690000,2018-05-27 13:13:02.039,11956.0,4,100.0,False,1,car,1.0,9
0 days 00:00:14.929000,2018-05-27 13:13:02.278,11794.0,5,100.0,False,1,car,1.0,9
0 days 00:00:15.169000,2018-05-27 13:13:02.518,10871.0,5,100.0,False,1,car,1.0,9
0 days 00:00:15.370000,2018-05-27 13:13:02.719,11141.0,5,100.0,False,1,car,1.0,9
0 days 00:00:15.610000,2018-05-27 13:13:02.959,11726.0,5,100.0,False,1,car,1.0,9
0 days 00:00:15.850000,2018-05-27 13:13:03.199,10326.0,5,100.0,False,1,car,1.0,9
0 days 00:00:16.090000,2018-05-27 13:13:03.439,10560.0,6,100.0,False,1,car,1.0,9
0 days 00:00:16.330000,2018-05-27 13:13:03.679,10859.0,6,100.0,False,1,car,1.0,9
0 days 00:00:16.570000,2018-05-27 13:13:03.919,11207.0,6,100.0,False,1,car,1.0,9
0 days 00:00:16.809000,2018-05-27 13:13:04.158,11456.0,6,100.0,False,1,car,1.0,9
0 days 00:00:17.010000,2018-05-27 13:13:04.359,11426.0,6,100.0,False,1,car,1.0,9
0 days 00:00:17.250000,2018-05-27 13:13:04.599,10598.0,6,48.0,False,1,car,1.0,9
0 days 00:00:17.490000,2018-05-27 13:13:04.839,9805.0,7,31.0,False,1,car,1.0,9
0 days 00:00:17.729000,2018-05-27 13:13:05.078,9760.0,7,27.0,False,1,car,1.0,9
0 days 00:00:17.969000,2018-05-27 13:13:05.318,9591.0,7,40.0,False,1,car,1.0,9
0 days 00:00:18.209000,2018-05-27 13:13:05.558,9540.0,7,50.0,False,1,car,1.0,9
0 days 00:00:18.449000,2018-05-27 13:13:05.798,9326.0,7,0.0,True,1,car,1.0,9
