Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.026000,2021-05-23 13:02:55.466,10550.0,1,23.0,True,1,car,1.0,5
0 days 00:00:00.266000,2021-05-23 13:02:55.706,10652.0,1,23.0,True,1,car,1.0,5
0 days 00:00:00.546000,2021-05-23 13:02:55.986,8832.0,1,25.0,False,1,car,1.0,5
0 days 00:00:00.786000,2021-05-23 13:02:56.226,7152.0,1,24.0,False,1,car,1.0,5
0 days 00:00:01.026000,2021-05-23 13:02:56.466,5472.0,1,23.0,False,1,car,1.0,5
0 days 00:00:01.266000,2021-05-23 13:02:56.706,4993.0,1,29.0,False,1,car,1.0,5
0 days 00:00:01.506000,2021-05-23 13:02:56.946,4901.0,1,32.0,False,1,car,1.0,5
0 days 00:00:01.746000,2021-05-23 13:02:57.186,6411.0,1,40.0,False,1,car,1.0,5
0 days 00:00:01.986000,2021-05-23 13:02:57.426,7500.0,1,49.0,False,1,car,1.0,5
0 days 00:00:02.225000,2021-05-23 13:02:57.665,8815.0,1,51.0,False,1,car,1.0,5
0 days 00:00:02.465000,2021-05-23 13:02:57.905,9736.0,1,63.0,False,1,car,1.0,5
0 days 00:00:02.705000,2021-05-23 13:02:58.145,10743.0,1,62.0,False,1,car,1.0,5
0 days 00:00:02.945000,2021-05-23 13:02:58.385,11659.0,1,76.0,False,1,car,1.0,5
0 days 00:00:03.185000,2021-05-23 13:02:58.625,10918.0,2,77.0,False,1,car,1.0,5
0 days 00:00:03.386000,2021-05-23 13:02:58.826,11215.0,2,78.0,False,1,car,1.0,5
0 days 00:00:03.626000,2021-05-23 13:02:59.066,10541.0,2,79.0,False,1,car,1.0,5
0 days 00:00:03.866000,2021-05-23 13:02:59.306,9979.0,3,78.0,False,1,car,1.0,5
0 days 00:00:04.106000,2021-05-23 13:02:59.546,11329.0,3,78.0,False,1,car,1.0,5
0 days 00:00:04.346000,2021-05-23 13:02:59.786,10482.0,3,82.0,False,1,car,1.0,5
0 days 00:00:04.586000,2021-05-23 13:03:00.026,10952.0,4,86.0,False,1,car,1.0,5
0 days 00:00:04.866000,2021-05-23 13:03:00.306,11827.0,4,99.0,False,1,car,1.0,5
0 days 00:00:05.106000,2021-05-23 13:03:00.546,10484.0,4,51.0,True,1,car,1.0,5
0 days 00:00:05.346000,2021-05-23 13:03:00.786,10489.0,5,25.0,True,1,car,1.0,5
0 days 00:00:05.586000,2021-05-23 13:03:01.026,10405.0,5,54.0,False,1,car,1.0,5
0 days 00:00:05.826000,2021-05-23 13:03:01.266,10248.0,5,1.0,True,1,car,1.0,5
0 days 00:00:06.066000,2021-05-23 13:03:01.506,9890.0,5,0.0,True,1,car,1.0,5
0 days 00:00:06.306000,2021-05-23 13:03:01.746,8493.0,5,10.0,True,1,car,1.0,5
0 days 00:00:06.586000,2021-05-23 13:03:02.026,9349.0,5,3.0,True,1,car,1.0,5
