DriverNumber,LapNumber,RPM,nGear,Throttle,Brake,DRS,Year
2,1,9241.715976331361,3.328402366863905,40.36390532544379,105,0,2018
2,2,9468.847305389221,3.694610778443114,43.90419161676647,98,0,2018
2,3,9465.868656716419,3.7850746268656716,44.59701492537314,107,7,2018
2,4,9417.035820895522,3.817910447761194,42.95820895522388,101,19,2018
2,5,9434.81736526946,3.8502994011976046,42.47305389221557,102,19,2018
2,6,9453.385074626865,3.7970149253731345,41.865671641791046,108,19,2018
2,7,9378.193251533743,3.7607361963190185,40.217791411042946,104,10,2018
2,8,9646.68168168168,3.864864864864865,47.48348348348348,99,22,2018
2,9,9451.213855421687,3.8674698795180724,44.19578313253012,98,0,2018
2,10,9511.554896142434,3.884272997032641,45.083086053412465,96,0,2018
2,11,9406.045592705168,3.6808510638297873,42.65653495440729,108,0,2018
2,12,9551.885542168675,3.8493975903614457,48.06024096385542,98,0,2018
2,13,9528.21021021021,3.7927927927927927,46.48348348348348,99,0,2018
2,14,9536.631736526946,3.805389221556886,47.0,93,0,2018
2,15,9488.633136094675,3.760355029585799,46.642011834319526,97,0,2018
2,16,9472.949554896142,3.7091988130563798,45.50148367952522,102,0,2018
2,17,9453.023529411765,3.7529411764705882,45.6764705882353,99,0,2018
2,18,9371.12759643917,3.712166172106825,43.774480712166174,104,0,2018
2,19,9509.818823529411,3.9552941176470586,46.12235294117647,135,0,2018
2,20,8605.11607142857,2.5773809523809526,43.31845238095238,99,0,2018
2,21,9411.47987616099,3.6006191950464395,46.88235294117647,105,0,2018
2,22,9558.868501529052,3.8960244648318043,47.678899082568805,102,0,2018
2,23,9504.975384615385,3.913846153846154,46.316923076923075,99,0,2018
2,24,9616.869969040248,3.9256965944272446,48.030959752321984,97,0,2018
2,25,9557.185185185184,3.9012345679012346,46.28395061728395,103,0,2018
2,26,9514.870769230769,3.9476923076923076,46.29846153846154,97,0,2018
2,27,9591.926380368099,3.8895705521472395,46.4601226993865,105,0,2018
2,28,9574.486404833837,3.8851963746223563,47.02114803625378,101,0,2018
2,29,9521.134969325154,3.7822085889570554,43.214723926380366,116,0,2018
2,30,9637.75,3.8719512195121952,48.16158536585366,101,0,2018
2,31,9520.975535168196,3.871559633027523,45.42507645259939,102,0,2018
2,32,9525.225225225226,3.8528528528528527,44.83783783783784,102,0,2018
2,33,9470.451807228916,3.7951807228915664,42.295180722891565,108,2,2018
2,34,9476.311377245509,3.805389221556886,42.06287425149701,118,14,2018
2,35,9477.474777448071,3.833827893175074,42.9080118694362,114,23,2018
2,36,9284.946268656717,3.817910447761194,41.22089552238806,109,18,2018
2,37,9353.271641791045,3.7582089552238807,39.77014925373134,108,11,2018
2,38,9485.607142857143,3.7976190476190474,43.36309523809524,110,8,2018
2,39,9465.68047337278,3.769230769230769,42.514792899408285,115,20,2018
2,40,9383.297872340425,3.7051671732522795,41.109422492401215,110,8,2018
2,41,9525.954954954956,3.795795795795796,44.51951951951952,110,1,2018
2,42,9438.195195195196,3.834834834834835,43.32432432432432,110,19,2018
2,43,9457.246290801188,3.830860534124629,43.10682492581602,117,21,2018
2,44,9369.594594594595,3.7837837837837838,41.4954954954955,108,10,2018
2,45,9424.93471810089,3.801186943620178,43.54005934718101,104,8,2018
2,46,9447.997041420118,3.739644970414201,42.014792899408285,117,14,2018
2,47,9372.807228915663,3.753012048192771,40.48795180722892,111,10,2018
2,48,9385.811550151975,3.8541033434650456,43.06382978723404,103,0,2018
2,49,9557.10843373494,3.86144578313253,45.5210843373494,106,0,2018
2,50,9413.131097560976,3.8536585365853657,43.86585365853659,104,0,2018
2,51,9480.268882175227,3.882175226586103,44.413897280966765,104,3,2018
2,52,9475.205970149254,3.8149253731343284,43.73134328358209,106,16,2018
2,53,9412.445454545454,3.796969696969697,41.7,116,2,2018
2,54,9472.637462235649,3.8459214501510575,44.44712990936556,107,21,2018
2,55,9476.221212121212,3.8393939393939394,44.13030303030303,109,16,2018
2,56,9446.753846153846,3.8215384615384616,42.84615384615385,103,0,2018
2,57,9519.204268292682,3.8597560975609757,45.66158536585366,97,0,2018
2,58,9575.150306748466,3.9049079754601226,46.61349693251534,103,0,2018
2,59,9550.042944785277,3.8435582822085887,45.306748466257666,102,0,2018
2,60,9618.864615384615,3.8584615384615386,45.49846153846154,104,0,2018
2,61,9532.473846153845,3.8892307692307693,45.41538461538462,98,0,2018
2,62,9545.098765432098,3.882716049382716,45.157407407407405,99,0,2018
2,63,9547.908256880733,3.859327217125382,45.59021406727829,102,0,2018
2,64,9583.314984709481,3.8654434250764527,46.11009174311926,97,0,2018
2,65,9519.669724770642,3.8470948012232418,44.29969418960245,110,0,2018
2,66,9554.813455657493,3.859327217125382,44.599388379204896,105,0,2018
2,67,9538.223564954682,3.8610271903323263,44.570996978851966,98,0,2018
2,68,9453.26586102719,3.8519637462235647,43.47432024169184,110,1,2018
2,69,9466.333333333334,3.8424242424242423,43.45757575757576,107,19,2018
2,70,9561.188059701493,3.8656716417910446,45.82089552238806,110,25,2018
2,71,9007.327935222673,3.617408906882591,37.59109311740891,166,29,2018
2,72,8065.879888268157,2.2597765363128492,36.52513966480447,95,0,2018
2,73,9298.586419753086,3.4660493827160495,36.46296296296296,111,0,2018
2,74,9657.173374613003,3.8792569659442724,43.959752321981426,108,20,2018
2,75,9557.987577639751,3.9658385093167703,45.453416149068325,105,20,2018
2,76,9660.758513931889,3.928792569659443,46.77399380804953,103,0,2018
2,77,9729.846376811594,3.9855072463768115,45.95072463768116,108,0,2018
