Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.071000,2019-05-26 13:12:46.052,10025.0,1,27.0,False,1,car,1.0,88
0 days 00:00:00.311000,2019-05-26 13:12:46.292,10061.0,1,27.0,False,1,car,1.0,88
0 days 00:00:00.551000,2019-05-26 13:12:46.532,8661.0,1,30.0,False,1,car,1.0,88
0 days 00:00:00.752000,2019-05-26 13:12:46.733,7261.0,1,31.0,False,1,car,1.0,88
0 days 00:00:00.992000,2019-05-26 13:12:46.973,6202.0,1,31.0,False,1,car,1.0,88
0 days 00:00:01.231000,2019-05-26 13:12:47.212,6263.0,1,32.0,False,1,car,1.0,88
0 days 00:00:01.511000,2019-05-26 13:12:47.492,6147.0,1,35.0,False,1,car,1.0,88
0 days 00:00:01.751000,2019-05-26 13:12:47.732,6847.0,1,39.0,False,1,car,1.0,88
0 days 00:00:01.990000,2019-05-26 13:12:47.971,7418.0,1,47.0,False,1,car,1.0,88
0 days 00:00:02.230000,2019-05-26 13:12:48.211,8634.0,1,53.0,False,1,car,1.0,88
0 days 00:00:02.431000,2019-05-26 13:12:48.412,9805.0,1,56.0,False,1,car,1.0,88
0 days 00:00:02.671000,2019-05-26 13:12:48.652,10334.0,1,58.0,False,1,car,1.0,88
0 days 00:00:02.911000,2019-05-26 13:12:48.892,11605.0,1,68.0,False,1,car,1.0,88
0 days 00:00:03.151000,2019-05-26 13:12:49.132,10751.0,2,74.0,False,1,car,1.0,88
0 days 00:00:03.391000,2019-05-26 13:12:49.372,10165.0,2,76.0,False,1,car,1.0,88
0 days 00:00:03.671000,2019-05-26 13:12:49.652,11327.0,2,81.0,False,1,car,1.0,88
0 days 00:00:03.912000,2019-05-26 13:12:49.893,11355.0,3,100.0,False,1,car,1.0,88
0 days 00:00:04.151000,2019-05-26 13:12:50.132,11345.0,3,100.0,False,1,car,1.0,88
0 days 00:00:04.391000,2019-05-26 13:12:50.372,11974.0,3,100.0,False,1,car,1.0,88
0 days 00:00:04.631000,2019-05-26 13:12:50.612,10855.0,3,100.0,False,1,car,1.0,88
0 days 00:00:04.871000,2019-05-26 13:12:50.852,11221.0,4,100.0,False,1,car,1.0,88
0 days 00:00:05.112000,2019-05-26 13:12:51.093,11909.0,4,100.0,False,1,car,1.0,88
0 days 00:00:05.351000,2019-05-26 13:12:51.332,11212.0,4,100.0,False,1,car,1.0,88
0 days 00:00:05.552000,2019-05-26 13:12:51.533,10765.0,5,100.0,False,1,car,1.0,88
0 days 00:00:05.791000,2019-05-26 13:12:51.772,11282.0,5,100.0,False,1,car,1.0,88
0 days 00:00:06.031000,2019-05-26 13:12:52.012,11560.0,5,100.0,False,1,car,1.0,88
0 days 00:00:06.271000,2019-05-26 13:12:52.252,11456.0,5,61.0,True,1,car,1.0,88
0 days 00:00:06.472000,2019-05-26 13:12:52.453,11348.0,5,49.0,False,1,car,1.0,88
0 days 00:00:06.712000,2019-05-26 13:12:52.693,10930.0,5,62.0,True,1,car,1.0,88
0 days 00:00:06.952000,2019-05-26 13:12:52.933,10542.0,5,0.0,True,1,car,1.0,88
0 days 00:00:07.192000,2019-05-26 13:12:53.173,9142.0,5,0.0,True,1,car,1.0,88
0 days 00:00:07.431000,2019-05-26 13:12:53.412,8672.0,5,0.0,True,1,car,1.0,88
0 days 00:00:07.671000,2019-05-26 13:12:53.652,8289.0,5,12.0,True,1,car,1.0,88
0 days 00:00:07.872000,2019-05-26 13:12:53.853,8855.0,5,0.0,True,1,car,1.0,88
0 days 00:00:08.112000,2019-05-26 13:12:54.093,8088.0,4,0.0,True,1,car,1.0,88
0 days 00:00:08.351000,2019-05-26 13:12:54.332,7905.0,4,7.0,True,1,car,1.0,88
