LapNumber,TrackTemp,RPM,Throttle,Brake,DRS,LapTime,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Weight,PitDuration
1.0,33.75,9262.982195845698,43.36201780415431,108,0,91.614,0,6.0,20.0,1,1,837.7454011884736,0.0
2.0,33.9,9519.690690690692,45.61561561561562,99,0,80.619,1,1.0,6.0,0,1,836.4233922679273,0.0
3.0,33.9,9390.649700598802,47.08083832335329,93,7,79.812,1,1.0,7.0,0,0,835.1013833473811,0.0
4.0,33.9,9424.744744744745,47.61861861861862,89,21,79.562,1,1.0,8.0,0,0,833.7793744268348,0.0
5.0,33.6,9439.534743202415,48.0392749244713,85,24,79.4,1,1.0,9.0,0,0,832.4573655062885,0.0
6.0,34.5,9445.523952095808,47.46706586826348,92,23,79.489,0,1.0,10.0,0,0,831.1353565857422,0.0
7.0,33.9,9388.111445783132,46.59939759036145,92,19,79.766,0,1.0,11.0,0,0,829.8133476651959,0.0
8.0,33.8,9364.7078313253,48.066265060240966,89,20,79.497,0,1.0,12.0,0,0,828.4913387446496,0.0
9.0,33.8,9413.596385542169,49.1566265060241,87,17,79.346,1,1.0,13.0,0,0,827.1693298241033,0.0
10.0,33.8,9503.123123123123,49.648648648648646,89,0,79.193,1,1.0,14.0,0,0,825.8473209035571,0.0
11.0,33.7,9539.115151515152,46.97575757575758,91,0,79.714,0,1.0,15.0,0,0,824.5253119830109,0.0
12.0,33.9,9462.578787878789,48.28787878787879,89,0,79.118,1,1.0,16.0,0,0,823.2033030624646,0.0
13.0,34.0,9519.814925373134,49.29253731343284,89,0,79.238,0,1.0,17.0,0,1,821.8812941419183,0.0
14.0,33.7,9532.33734939759,48.56927710843374,86,0,79.738,0,1.0,18.0,0,0,820.559285221372,0.0
15.0,33.85,9464.494047619048,47.25892857142857,91,0,79.937,0,1.0,19.0,0,0,819.2372763008257,0.0
16.0,34.1,9489.181268882176,45.92447129909365,89,0,80.471,0,1.0,20.0,0,0,817.9152673802794,0.0
17.0,33.8,9443.192771084336,47.3855421686747,88,0,79.54,0,1.0,21.0,0,0,816.5932584597331,0.0
18.0,34.2,9591.74320241692,48.88821752265861,86,0,79.029,1,1.0,22.0,0,0,815.2712495391868,0.0
19.0,34.0,9450.30513595166,48.37764350453172,86,0,79.145,0,1.0,23.0,0,0,813.9492406186405,0.0
20.0,33.8,9465.81626506024,48.9277108433735,82,0,79.182,0,1.0,24.0,0,0,812.6272316980943,0.0
21.0,33.95,9409.00909090909,48.73636363636364,91,0,79.247,0,1.0,25.0,0,0,811.305222777548,0.0
22.0,34.1,9538.766871165644,50.12883435582822,82,0,78.824,1,1.0,26.0,0,0,809.9832138570017,0.0
23.0,34.3,9554.325227963524,50.85714285714285,78,0,78.431,1,1.0,27.0,0,0,808.6612049364554,0.0
24.0,34.45,9563.188449848025,51.35866261398176,81,0,78.57,0,1.0,28.0,0,0,807.3391960159091,0.0
25.0,33.8,9658.70642201835,50.308868501529055,80,0,78.701,0,1.0,29.0,0,0,806.0171870953628,0.0
26.0,33.8,9559.40303030303,51.29090909090909,82,0,78.405,1,1.0,30.0,0,0,804.6951781748165,0.0
27.0,33.75,9509.131097560976,49.26219512195122,79,0,78.912,0,1.0,31.0,0,0,803.3731692542704,0.0
28.0,34.2,9550.822085889571,49.95705521472393,88,0,78.235,1,1.0,32.0,0,0,802.051160333724,0.0
29.0,34.4,9541.4250764526,50.68807339449541,77,0,78.09,1,1.0,33.0,0,0,800.7291514131778,0.0
30.0,34.4,9529.548780487805,50.1280487804878,78,0,78.302,0,1.0,34.0,0,0,799.4071424926315,0.0
31.0,34.35,9553.262195121952,50.90853658536585,80,0,78.263,0,1.0,35.0,0,0,798.0851335720852,0.0
32.0,34.2,9508.407975460124,49.1840490797546,81,0,78.63,0,1.0,36.0,0,0,796.7631246515389,0.0
33.0,35.0,9545.395136778116,50.878419452887535,84,0,78.275,0,1.0,37.0,0,0,795.4411157309926,0.0
34.0,35.05,9519.173252279636,50.01823708206687,80,0,78.69,0,1.0,38.0,0,0,794.1191068104463,0.0
35.0,34.9,9582.521212121212,50.06969696969697,86,0,78.59,0,1.0,39.0,0,0,792.7970978899,0.0
36.0,35.2,9568.138957816378,52.59057071960298,103,0,79.048,0,1.0,40.0,0,0,791.4750889693538,0.0
37.0,35.3,8662.804733727811,46.29585798816568,93,0,96.516,0,1.0,41.0,0,0,790.1530800488075,24.188
38.0,35.1,9765.966463414634,48.33841463414634,97,0,80.582,0,3.0,1.0,1,0,788.8310711282612,0.0
39.0,35.8,9696.51226993865,48.50920245398773,92,0,78.239,0,3.0,2.0,1,0,787.5090622077149,0.0
40.0,36.15,9606.130303030302,49.73939393939394,90,0,77.85,1,3.0,3.0,1,0,786.1870532871686,0.0
41.0,36.4,9485.430303030304,47.26969696969697,93,4,79.021,0,3.0,4.0,1,0,784.8650443666223,0.0
42.0,36.6,9492.74320241692,47.50453172205438,99,21,78.996,0,3.0,5.0,1,0,783.543035446076,0.0
43.0,36.8,9500.752265861029,46.477341389728096,94,15,79.318,0,3.0,6.0,1,0,782.2210265255297,0.0
44.0,37.0,9538.951367781156,47.52887537993921,90,0,78.772,0,3.0,7.0,1,0,780.8990176049836,0.0
45.0,36.3,9534.431610942249,48.17629179331307,91,0,78.73,0,3.0,8.0,1,0,779.5770086844373,0.0
46.0,36.55,9502.156626506025,48.59638554216868,92,0,78.705,0,3.0,9.0,1,0,778.254999763891,0.0
47.0,36.6,9420.565217391304,46.47204968944099,92,0,79.13,0,3.0,10.0,1,0,776.9329908433447,0.0
48.0,36.6,9746.012232415902,51.28746177370031,90,0,77.276,1,3.0,11.0,1,0,775.6109819227984,0.0
49.0,36.5,9625.706948640483,51.41691842900302,88,0,77.694,0,3.0,12.0,1,0,774.2889730022521,0.0
50.0,36.7,9522.404129793513,50.04719764011799,87,14,79.016,0,3.0,13.0,1,0,772.9669640817058,0.0
51.0,36.3,9284.306306306304,43.030030030030034,102,14,81.447,0,3.0,14.0,1,0,771.6449551611595,0.0
52.0,36.1,9446.208588957055,46.13803680981595,94,16,79.452,0,3.0,15.0,1,0,770.3229462406132,0.0
53.0,35.9,9616.43827160494,50.867283950617285,84,0,77.758,0,3.0,16.0,1,1,769.000937320067,0.0
54.0,35.6,9596.706790123457,48.74382716049383,86,0,77.796,0,3.0,17.0,1,1,767.6789283995207,0.0
55.0,35.2,9634.20807453416,50.0527950310559,82,0,77.435,0,3.0,18.0,1,0,766.3569194789744,0.0
56.0,34.6,9653.766355140187,51.218068535825545,81,0,77.278,0,3.0,19.0,1,0,765.0349105584281,0.0
57.0,34.6,9634.588235294115,50.55727554179567,79,0,77.311,0,3.0,20.0,1,0,763.7129016378818,0.0
58.0,34.7,9626.342592592591,50.3425925925926,82,0,77.599,0,3.0,21.0,1,0,762.3908927173355,0.0
59.0,34.8,9660.546296296296,50.098765432098766,85,0,77.254,1,3.0,22.0,1,0,761.0688837967892,0.0
60.0,34.4,9592.848765432098,50.22222222222222,82,0,77.639,0,3.0,23.0,1,0,759.746874876243,0.0
61.0,34.4,9686.568322981366,50.56211180124224,82,0,77.777,0,3.0,24.0,1,0,758.4248659556968,0.0
62.0,34.349999999999994,9703.804953560371,51.20743034055727,80,0,77.432,0,3.0,25.0,1,0,757.1028570351505,0.0
63.0,34.3,9659.598765432098,49.74691358024691,83,0,77.51,0,3.0,26.0,1,0,755.7808481146042,0.0
64.0,34.3,9647.75155279503,50.31055900621118,80,0,77.442,0,3.0,27.0,1,0,754.4588391940579,0.0
65.0,34.2,9664.5479876161,50.241486068111456,84,0,77.136,1,3.0,28.0,1,0,753.1368302735116,0.0
66.0,34.3,9619.02786377709,51.30959752321981,78,0,77.309,0,3.0,29.0,1,0,751.8148213529653,0.0
67.0,34.3,9650.996904024769,51.241486068111456,82,0,77.288,0,3.0,30.0,1,0,750.492812432419,0.0
68.0,34.65,9658.472222222224,50.54938271604938,82,0,77.099,1,3.0,31.0,1,0,749.1708035118727,0.0
69.0,34.6,9641.47076923077,50.30153846153846,80,0,77.241,0,3.0,32.0,1,0,747.8487945913265,0.0
70.0,34.5,9659.932098765432,49.91358024691358,80,0,77.397,0,3.0,33.0,1,0,746.5267856707802,0.0
71.0,34.4,9660.893048128342,53.42245989304813,90,0,77.659,0,3.0,34.0,1,0,745.2047767502339,0.0
72.0,34.3,8775.20093457944,37.98598130841121,88,0,89.53,0,3.0,35.0,1,2,743.8827678296876,0.0
73.0,34.35,8853.477477477478,29.77177177177177,94,0,102.394,0,3.0,36.0,1,2,742.5607589091413,0.0
74.0,34.5,9644.64024390244,44.71646341463415,102,0,79.673,0,3.0,37.0,1,0,741.238749988595,0.0
