LapNumber,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed,Rainfall,Year,DriverNumber,RPM,nGear,Throttle,Brake,DRS,Time,Driver,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Weight
12.0,27.05,43.45,1015.15,33.9,172.5,1.95,1.0,2018,10,9467.50151057402,3.6132930513595167,48.4441087613293,89,0,0 days 00:22:54.616000,GAS,0 days 00:01:19.118000,1.0,,,0 days 00:00:20.958000,0 days 00:00:36.960000,0 days 00:00:21.200000,0 days 00:21:56.467000,0 days 00:22:33.427000,0 days 00:22:54.627000,198.0,188.0,250.0,271.0,True,HYPERSOFT,16.0,False,Toro Rosso,0 days 00:21:35.498000,,1,10.0,False,,False,True,823.2033030624646
13.0,27.1,43.9,1015.1,34.0,160.0,2.0,0.0,2018,10,9512.33734939759,3.5572289156626504,48.83433734939759,89,0,0 days 00:24:13.854000,GAS,0 days 00:01:19.238000,1.0,,,0 days 00:00:20.810000,0 days 00:00:37.170000,0 days 00:00:21.258000,0 days 00:23:15.437000,0 days 00:23:52.607000,0 days 00:24:13.865000,197.0,184.0,250.0,274.0,False,HYPERSOFT,17.0,False,Toro Rosso,0 days 00:22:54.616000,,12,10.0,False,,False,True,821.8812941419183
14.0,27.2,43.8,1015.1,33.7,137.0,1.0,0.0,2018,10,9528.28313253012,3.533132530120482,48.56927710843374,86,0,0 days 00:25:33.592000,GAS,0 days 00:01:19.738000,1.0,,,0 days 00:00:20.910000,0 days 00:00:37.235000,0 days 00:00:21.593000,0 days 00:24:34.775000,0 days 00:25:12.010000,0 days 00:25:33.603000,,187.0,251.0,274.0,False,HYPERSOFT,18.0,False,Toro Rosso,0 days 00:24:13.854000,,1,10.0,False,,False,True,820.559285221372
15.0,27.2,44.0,1015.15,33.85,155.5,1.2,0.0,2018,10,9452.73873873874,3.57957957957958,46.78378378378378,91,0,0 days 00:26:53.529000,GAS,0 days 00:01:19.937000,1.0,,,0 days 00:00:20.973000,0 days 00:00:37.295000,0 days 00:00:21.669000,0 days 00:25:54.576000,0 days 00:26:31.871000,0 days 00:26:53.540000,,185.0,251.0,273.0,False,HYPERSOFT,19.0,False,Toro Rosso,0 days 00:25:33.592000,,1,10.0,False,,False,True,819.2372763008257
16.0,27.3,44.1,1015.2,34.1,153.0,1.5,0.0,2018,10,9507.54328358209,3.4656716417910447,46.570149253731344,89,0,0 days 00:28:14,GAS,0 days 00:01:20.471000,1.0,,,0 days 00:00:21.255000,0 days 00:00:37.452000,0 days 00:00:21.764000,0 days 00:27:14.795000,0 days 00:27:52.247000,0 days 00:28:14.011000,192.0,183.0,251.0,275.0,False,HYPERSOFT,20.0,False,Toro Rosso,0 days 00:26:53.529000,,1,9.0,False,,False,True,817.9152673802794
17.0,27.2,44.1,1015.2,33.8,157.0,0.8,0.0,2018,10,9453.2125748503,3.5748502994011977,47.70059880239521,88,0,0 days 00:29:33.540000,GAS,0 days 00:01:19.540000,1.0,,,0 days 00:00:21.121000,0 days 00:00:37.098000,0 days 00:00:21.321000,0 days 00:28:35.132000,0 days 00:29:12.230000,0 days 00:29:33.551000,196.0,189.0,251.0,273.0,False,HYPERSOFT,21.0,False,Toro Rosso,0 days 00:28:14,,1,9.0,False,,False,True,816.5932584597331
18.0,27.35,43.85,1015.2,34.2,169.5,1.5,0.0,2018,10,9582.59393939394,3.533333333333333,48.73333333333333,86,0,0 days 00:30:52.569000,GAS,0 days 00:01:19.029000,1.0,,,0 days 00:00:20.832000,0 days 00:00:36.873000,0 days 00:00:21.324000,0 days 00:29:54.383000,0 days 00:30:31.256000,0 days 00:30:52.580000,,190.0,251.0,273.0,True,HYPERSOFT,22.0,False,Toro Rosso,0 days 00:29:33.540000,,1,9.0,False,,False,True,815.2712495391868
19.0,27.3,44.4,1015.2,34.0,173.0,1.5,0.0,2018,10,9449.253012048192,3.614457831325301,48.53313253012048,86,0,0 days 00:32:11.714000,GAS,0 days 00:01:19.145000,1.0,,,0 days 00:00:20.798000,0 days 00:00:37.094000,0 days 00:00:21.253000,0 days 00:31:13.378000,0 days 00:31:50.472000,0 days 00:32:11.725000,202.0,187.0,251.0,272.0,False,HYPERSOFT,23.0,False,Toro Rosso,0 days 00:30:52.569000,,1,8.0,False,,False,True,813.9492406186405
20.0,27.2,45.2,1015.2,33.8,150.0,1.5,0.0,2018,10,9469.486404833837,3.6012084592145017,48.77341389728097,82,0,0 days 00:33:30.896000,GAS,0 days 00:01:19.182000,1.0,,,0 days 00:00:20.776000,0 days 00:00:36.980000,0 days 00:00:21.426000,0 days 00:32:32.501000,0 days 00:33:09.481000,0 days 00:33:30.907000,201.0,186.0,251.0,273.0,False,HYPERSOFT,24.0,False,Toro Rosso,0 days 00:32:11.714000,,1,8.0,False,,False,True,812.6272316980943
21.0,27.2,45.35,1015.1,33.95,166.0,1.35,0.0,2018,10,9417.006024096385,3.61144578313253,49.045180722891565,91,0,0 days 00:34:50.143000,GAS,0 days 00:01:19.247000,1.0,,,0 days 00:00:20.891000,0 days 00:00:37.085000,0 days 00:00:21.271000,0 days 00:33:51.798000,0 days 00:34:28.883000,0 days 00:34:50.154000,203.0,189.0,250.0,272.0,False,HYPERSOFT,25.0,False,Toro Rosso,0 days 00:33:30.896000,,1,7.0,False,,False,True,811.305222777548
