Time,Date,RPM,nGear,Throttle,Brake,DRS,Source,LapNumber,DriverNumber
0 days 00:00:00.026000,2021-05-23 13:02:55.466,9267.0,1,20.0,False,1,car,1.0,77
0 days 00:00:00.266000,2021-05-23 13:02:55.706,9182.0,1,20.0,False,1,car,1.0,77
0 days 00:00:00.546000,2021-05-23 13:02:55.986,7922.0,1,21.0,False,1,car,1.0,77
0 days 00:00:00.786000,2021-05-23 13:02:56.226,6242.0,1,22.0,False,1,car,1.0,77
0 days 00:00:01.026000,2021-05-23 13:02:56.466,4562.0,1,25.0,False,1,car,1.0,77
0 days 00:00:01.266000,2021-05-23 13:02:56.706,4485.0,1,29.0,False,1,car,1.0,77
0 days 00:00:01.506000,2021-05-23 13:02:56.946,4782.0,1,44.0,False,1,car,1.0,77
0 days 00:00:01.746000,2021-05-23 13:02:57.186,6042.0,1,53.0,False,1,car,1.0,77
0 days 00:00:01.986000,2021-05-23 13:02:57.426,7722.0,1,55.0,False,1,car,1.0,77
0 days 00:00:02.225000,2021-05-23 13:02:57.665,9402.0,1,60.0,False,1,car,1.0,77
0 days 00:00:02.465000,2021-05-23 13:02:57.905,10127.0,1,67.0,False,1,car,1.0,77
0 days 00:00:02.705000,2021-05-23 13:02:58.145,11488.0,1,71.0,False,1,car,1.0,77
0 days 00:00:02.945000,2021-05-23 13:02:58.385,10821.0,1,65.0,False,1,car,1.0,77
0 days 00:00:03.185000,2021-05-23 13:02:58.625,9908.0,2,61.0,True,1,car,1.0,77
0 days 00:00:03.386000,2021-05-23 13:02:58.826,10085.0,2,61.0,False,1,car,1.0,77
0 days 00:00:03.626000,2021-05-23 13:02:59.066,10515.0,2,62.0,False,1,car,1.0,77
0 days 00:00:03.866000,2021-05-23 13:02:59.306,12195.0,2,100.0,False,1,car,1.0,77
0 days 00:00:04.106000,2021-05-23 13:02:59.546,10859.0,3,100.0,False,1,car,1.0,77
0 days 00:00:04.346000,2021-05-23 13:02:59.786,11584.0,3,100.0,False,1,car,1.0,77
0 days 00:00:04.586000,2021-05-23 13:03:00.026,10978.0,3,100.0,False,1,car,1.0,77
0 days 00:00:04.866000,2021-05-23 13:03:00.306,11291.0,4,100.0,False,1,car,1.0,77
0 days 00:00:05.106000,2021-05-23 13:03:00.546,11079.0,4,75.0,True,1,car,1.0,77
0 days 00:00:05.346000,2021-05-23 13:03:00.786,11206.0,4,100.0,True,1,car,1.0,77
0 days 00:00:05.586000,2021-05-23 13:03:01.026,11283.0,4,78.0,True,1,car,1.0,77
0 days 00:00:05.826000,2021-05-23 13:03:01.266,10322.0,4,7.0,True,1,car,1.0,77
0 days 00:00:06.066000,2021-05-23 13:03:01.506,9555.0,4,0.0,True,1,car,1.0,77
0 days 00:00:06.306000,2021-05-23 13:03:01.746,8575.0,4,0.0,True,1,car,1.0,77
0 days 00:00:06.586000,2021-05-23 13:03:02.026,6930.0,3,2.0,True,1,car,1.0,77
0 days 00:00:06.826000,2021-05-23 13:03:02.266,6779.0,3,2.0,True,1,car,1.0,77
0 days 00:00:07.066000,2021-05-23 13:03:02.506,8459.0,3,1.0,True,1,car,1.0,77
0 days 00:00:07.306000,2021-05-23 13:03:02.746,9390.0,1,1.0,True,1,car,1.0,77
0 days 00:00:07.546000,2021-05-23 13:03:02.986,8952.0,1,0.0,False,1,car,1.0,77
0 days 00:00:07.786000,2021-05-23 13:03:03.226,8356.0,1,0.0,True,1,car,1.0,77
0 days 00:00:08.026000,2021-05-23 13:03:03.466,8356.0,1,0.0,False,1,car,1.0,77
0 days 00:00:08.266000,2021-05-23 13:03:03.706,7228.0,1,16.0,False,1,car,1.0,77
0 days 00:00:08.506000,2021-05-23 13:03:03.946,7508.0,1,32.0,False,1,car,1.0,77
0 days 00:00:08.746000,2021-05-23 13:03:04.186,9188.0,1,40.0,False,1,car,1.0,77
0 days 00:00:08.985000,2021-05-23 13:03:04.425,10179.0,1,53.0,False,1,car,1.0,77
0 days 00:00:09.225000,2021-05-23 13:03:04.665,10888.0,1,63.0,False,1,car,1.0,77
0 days 00:00:09.505000,2021-05-23 13:03:04.945,12082.0,1,76.0,False,1,car,1.0,77
0 days 00:00:09.745000,2021-05-23 13:03:05.185,12274.0,1,76.0,False,1,car,1.0,77
0 days 00:00:09.946000,2021-05-23 13:03:05.386,11162.0,2,87.0,False,1,car,1.0,77
0 days 00:00:10.186000,2021-05-23 13:03:05.626,11022.0,2,100.0,False,1,car,1.0,77
0 days 00:00:10.426000,2021-05-23 13:03:05.866,11545.0,3,100.0,False,1,car,1.0,77
0 days 00:00:10.666000,2021-05-23 13:03:06.106,11167.0,3,100.0,False,1,car,1.0,77
0 days 00:00:10.906000,2021-05-23 13:03:06.346,10733.0,3,100.0,False,1,car,1.0,77
0 days 00:00:11.146000,2021-05-23 13:03:06.586,10988.0,4,100.0,False,1,car,1.0,77
0 days 00:00:11.386000,2021-05-23 13:03:06.826,11692.0,4,100.0,False,1,car,1.0,77
0 days 00:00:11.626000,2021-05-23 13:03:07.066,10572.0,4,100.0,False,1,car,1.0,77
0 days 00:00:11.866000,2021-05-23 13:03:07.306,10504.0,5,100.0,False,1,car,1.0,77
0 days 00:00:12.146000,2021-05-23 13:03:07.586,11402.0,5,100.0,False,1,car,1.0,77
0 days 00:00:12.386000,2021-05-23 13:03:07.826,11833.0,5,100.0,False,1,car,1.0,77
0 days 00:00:12.626000,2021-05-23 13:03:08.066,12079.0,5,100.0,False,1,car,1.0,77
